Anio,Mes,PRECIP_acum,TMAX_prom,TMIN_prom
1978,12,10,20.096800000000002,3.5161
1979,1,9,17,3.6452
1979,2,17.4,19.6071,3.5
1979,3,0,21.3548,4.871
1979,4,66.6,22.5,7.1667
1979,5,25,20.8387,7.7742000000000004
1979,6,31.5,19.0667,8.3167
1979,7,148.2,19.3548,8.4516
1979,8,64.3,17.0806,8.2258
1979,9,129.7,16.8833,8.4
1979,10,7.6,19.1774,4.2097
1979,11,7.5,16.22,5.1833
1979,12,4.8,17.4677,3.7903
1980,1,13.3,18,3.4516
1980,2,1.7,19.5345,3.3448
1980,3,0,22.9677,5.3548
1980,4,29.7,22.2333,6.75
1980,5,44.6,23.7581,8.7258
1980,6,56.8,18.7333,7.3833
1980,7,69.5,18.5484,8.4194
1980,8,96.6,18.5806,9
1980,9,121.9,17.45,8.5333
1980,10,4.7,18,5.629
1980,11,28.4,18.2167,3.8
1980,12,0,16.0323,1.3065
1981,1,0,15.6452,1.0968
1981,2,6.7,19.8393,2.6786
1981,3,15,23.129,4.2581
1981,4,13.9,24.05,6.25
1981,5,78.4,22.8226,8.2419
1981,6,266.4,18.6167,9.5
1981,7,71.7,16.7581,8.8871
1981,8,69.9,17.9677,8.4355
1981,9,45.1,18.1,7.35
1981,10,38.6,18.6452,6.1935
1981,11,0,18.0833,1.2833
1981,12,0,19.9516,2.9839
1982,1,0,20.4032,1.4839
1982,2,59.9,20.0714,3.1786
1982,3,2,21.5484,3.9032
1982,4,25.9,21.8667,4.5833
1982,5,84.7,22.1935,8.0806
1982,6,28.6,20.9667,6.85
1982,7,18,18.3226,6.871
1982,8,17.7,18.4677,6.5806
1982,9,67.8,17.5667,7.6333
1982,10,74.1,15.6613,5.9032
1982,11,30.4,18.2667,4.3167
1982,12,12.3,16.1613,2.7419
1983,1,13.7,17.129,2.1452
1983,2,59.7,19.3393,1.7321
1983,3,24,21.129,3.7097
1983,4,0,24.4333,5.6833
1983,5,12.9,25.8387,7.871
1983,6,61.4,23.0333,8.0667
1983,7,91.6,17.6129,8.5806
1983,8,21,18.3903,7.6129
1983,9,19.2,21.5167,6.5667
1983,10,0,22.7419,3.8548
1983,11,66.9,23.1333,4.5333
1983,12,0,21.6452,0.6452
1984,1,30.3,16.1935,4.1774
1984,2,13.5,17.9655,2.6897
1984,3,0,23.4032,4.5
1984,4,0,25.5667,6.5833
1984,5,56.9,22.4355,5.9032
1984,6,62.6,18.5167,7.8833
1984,7,38.5,16.8065,8.4839
1984,8,21.7,16.6774,7.1613
1984,9,224,17.1,8.2833
1984,11,0,16.2633,2.45
1984,12,1.5,17.4032,1.4839
1988,9,75,19.1167,7.8167
1988,10,15,17.596800000000002,5.6129
1988,11,0,20.9167,3.1833
1988,12,0,17.1452,2.6935
1989,1,0,19.7097,1.6935
1989,2,0,18.3571,3.0179
1989,3,4.5,21.129,2.1935
1989,4,27.5,22.2667,4.4667
1989,5,29.5,21.6452,6.5806
1989,6,141,20.2,8.7667
1989,7,152.5,18.371,7.1452
1989,8,34.5,18.7097,11.2097
1989,10,7,18.5484,3.8065
1989,11,4.5,19.9833,4.8667
1989,12,0,19.2419,2.4032
1990,1,NA,18.8548,2.6452
1990,2,18.5,19.7679,4.2857
1990,3,17.5,23.4355,4.129
1990,4,127.3,24.2833,6.3
1990,5,2.5,25.3548,7.7097
1990,6,32,21.1,7.6333
1990,7,54,20.0806,7.6129
1990,8,42.5,19.6935,7.4032
1990,10,57.5,19.9194,5.7419
1990,11,2,19.9333,3.0667
1990,12,1.5,20.096800000000002,3.3065
1991,1,0,19.4677,4.0806
1991,2,2.5,23.375,3.0714
1991,3,0,28.3065,4.3871
1991,4,9,27.9833,6.5
1991,5,48,24.7258,6.8548
1991,6,111.5,22.9167,8.3167
1991,7,126.5,20.1129,7.6452
1991,8,6,20.1774,6.5323
1991,9,42.8,20.15,7.2
1991,10,45.5,20.3226,6.0484
1991,11,31,18.6,3.7667
1991,12,0,19.629,4.1935
1992,1,18,21.6452,2.9839
1992,2,19,20.4828,2.7241
1992,3,12,24.4839,5.4355
1992,4,2.5,22.65,6.0333
1992,5,97.5,21.1129,6.0323
1992,7,24,20.0323,7.1935
1992,8,49.7,19.6774,7.2581
1992,9,61.9,19.15,6.4833
1992,10,25,19.8548,5.7581
1999,1,0,18.8548,2.6452
1999,3,17.61,23.4355,4.6129
1999,10,57.57,19.6935,5.7419
1999,11,2.13,19.9,3.0667
1999,12,0.1,19.9677,3.371
