Anio,Mes,PRECIP_acum,TMAX_prom,TMIN_prom
1969,8,321,23.5484,13.4677
1969,9,167,22.5167,12.4667
1969,10,38.5,24.129,10.9355
1969,11,14,22.55,7.2333
1969,12,2.55,23.1897,7.7069
1970,1,4.51,22.4667,5.65
1970,2,8.52,21.5,5.9444
1970,3,0,26.7903,8.8065
1970,4,0,29.9655,11.2759
1970,5,48.02,25.3065,10.5
1970,6,141.03,25.0667,12.15
1970,7,158.04,23.129,11.1452
1970,8,246.03,23.6613,11.0806
1970,9,233.52,23.5833,11.8333
1971,1,12,24.0645,4.629
1971,2,0,24.3571,5.9821
1971,3,28.5,25.9032,7.7258
1971,4,8,27.07,10.0667
1971,5,20,28.3065,11.2581
1971,6,35.5,25.9333,11.4667
1971,7,80.5,23.5806,10.6452
1971,8,103.5,23.5645,10.548400000000001
1971,9,156.5,24.7667,12.3
1971,10,67,23.096800000000002,10.1935
1971,11,43,22.4333,7.9667
1971,12,19.5,22.9677,6.1935
1972,1,8.5,22.8226,6.2581
1972,2,0,22.4828,5.7414
1972,3,22.5,26.8226,8.3871
1972,4,29,27.9333,10.8833
1972,5,52,27.0645,10.8387
1972,6,198.5,25.1833,11.9833
1972,7,185,23.4839,10.6774
1972,8,139,23.1129,9.5968
1972,9,67.5,23.85,10.9167
1972,10,68.5,23.7903,10.3065
1972,11,15,25.0167,9.7333
1972,12,5,22.8548,6.2581
1973,1,0,21.3226,5.1935
1973,2,5,22.75,7.8571
1973,3,0,30.7097,11.2258
1973,4,59,22.1833,7.8333
1973,5,52,23.8,6.4667
1973,6,6,24.0167,6.8
1973,7,2,22.7581,4.2903
1973,8,0,26.3929,5.0357
1973,9,2,28.3333,9.8
1973,10,3,29.07,10.1
1973,11,84,28.3167,11.1333
1973,12,130,25.15,11.1333
1974,1,146,23.9355,9.3226
1974,2,75,24.625,9.7857
1974,3,262,23.4167,9
1974,4,112,23.0833,8.1667
1974,5,8,23.1667,5.2667
1974,6,5,20.3,4.3333
1974,7,136,23.0484,9.5806
1974,8,74,24.9516,8.9194
1974,9,283,23.2,9.8333
1974,10,59,22.3065,7.871
1974,11,52,23.8,6.4667
1974,12,6,24.0161,6.6129
1975,1,2,22.7581,4.2903
1975,2,0,26.3929,5.0357
1975,3,2,28.4032,9.7419
1975,4,3,29.07,10.1
1975,5,100,28.1774,11.129
1975,6,130,25.15,11.1333
1975,7,146,23.9355,9.3226
1975,8,137,24.7742,9.8065
1975,9,262,23.4167,9
1975,10,117,23.0161,8.0645
1975,11,8,23.1667,5.2667
1975,12,5,20.4194,4.3548
1976,1,19,20.4355,4.5484
1976,2,12,22.5724,3.069
1976,3,20,26.8387,7.4839
1976,4,36,26.5,9.0167
1976,5,100,23.5323,10.2903
1976,6,132,21.3833,11.0667
1976,7,181,21.0645,10.0806
1976,8,105,21.0806,10.0161
1976,9,89,22.1,9.8333
1976,10,104,20.9194,10.7419
1976,11,18,18.7167,9.7333
1976,12,9,21.1129,8.9677
1977,1,2,20.6129,7.4194
1977,2,4,19.4857,8.4643
1977,3,0,26.096800000000002,10.1935
1977,4,23,22.5833,10.8333
1977,5,36,25.3226,12.4194
1977,6,87.5,22.8833,12.7167
1977,7,52,22.4355,11.9355
1977,8,127,23.3387,12.6129
1977,9,57,23.9167,13.2167
1977,10,84.04,21.4839,12.0323
1977,11,8.03,21.6,9.8
1977,12,9.03,22.096800000000002,8.8226
1978,1,6,19.2935,7.3871
1978,2,13,20.0536,9.1964
1978,3,35,22.7516,10.4839
1978,4,11,26,12.0333
1978,5,29,27.2903,14.8548
1978,6,247,22.3167,13.6167
1978,7,174,21.8871,13.0968
1978,8,135,23.0484,12.3548
