Anio,Mes,PRECIP_acum,TMAX_prom,TMIN_prom
1961,2,7.5,22.1964,3.3036
1961,3,0.1,23.8548,4.5323
1961,4,0.5,26.2667,5.1667
1961,5,15.5,25.3226,5.3871
1961,6,110.5,20.9167,10.1167
1961,7,65.6,19.0806,8.8065
1961,8,8.5,20.4355,7.6452
1961,9,25.5,20.8167,8.9167
1961,10,2.5,20.9677,4.5484
1961,11,21.5,19.9333,3.8833
1961,12,13,20.2419,1.9871
1962,1,0,21.0161,-0.6129
1962,2,1.5,24.3571,1.5714
1962,3,16,25.7258,5.3548
1962,4,38,22.95,7.2333
1962,5,2.5,24.9516,5.6774
1962,6,50.5,22.85,7.8833
1962,7,25,20.6452,8.7742
1962,8,14,22.129,7.2419
1962,9,38,21.4167,8.9667
1962,10,6,20.9677,6.6452
1962,11,27.4,19.9,1.3667
1962,12,1,20.0323,3.1129
1963,1,0,22.5645,-0.1935
1963,2,0.5,20.2857,-0.5714
1963,3,0,24.4516,4.1935
1963,4,11,26.9333,4.0167
1963,5,14,24.7097,6.5645
1963,6,29.5,24.4333,9.35
1963,7,60.5,21,9.4194
1963,8,33.8,21.5323,8.5
1963,9,16,20.8833,8.8167
1963,10,21.5,19.7097,7.1935
1963,11,5.5,21.0333,3
1963,12,0,20.2258,1.2742
1964,1,3,20.871,2.6774
1964,2,0,23.7759,3.0517
1964,3,7.5,25.4516,6.0323
1964,4,22,27.3667,6.5833
1964,5,20.5,23.9032,8.2903
1964,6,22,20.9167,9.6667
1964,7,25,19.7581,8.4516
1964,8,33.5,21.8548,7.629
1964,9,16,21.3167,8.4833
1964,10,0.5,18.5806,4.1452
1964,11,11.5,18.9,4.1667
1964,12,2,17.9677,2.3548
1965,1,15,17.596800000000002,-0.0323
1965,2,5,20.75,2.9643
1965,3,37,23.9839,3.5806
1965,4,4.5,24.0333,5.8667
1965,5,13,24.8065,6.5
1965,6,85.5,21.7,8.4833
1965,7,26,19.9032,8.2581
1965,8,42.5,20,9.6452
1965,9,19,20.9,8.05
1965,10,12.8,18.3226,5.871
1965,11,0,20.0167,1.6333
1965,12,21.5,18.871,3.0968
1966,1,2.5,18.1452,2.0161
1966,2,21,19,4.375
1966,3,19.5,20.2581,3.8387
1966,4,42.5,20.2667,7.4667
1966,5,45,18.6774,7.129
1966,6,32,16.2414,8.3448
1966,7,28,16.3226,9.2258
1966,8,50.8,16.6,8.5
1966,9,94.5,NA,NA
1966,10,15,NA,NA
1966,11,1,19.1731,1.0385
1966,12,1.5,20.3226,0.2581
1967,1,4,19.9677,-0.1129
1967,2,0,22.0536,0.8571
1967,3,15.5,22.8226,1.7903
1967,4,40.5,23.7333,5.2
1967,5,26,24.629,7.1613
1967,6,20.5,23.1333,8.9167
1967,7,13.5,20.3548,7.3226
1967,8,48.5,20.9677,8.7097
1967,9,85.5,20.35,8.8
1967,10,58.5,19.9032,6.5
1967,11,0,20.2667,2.0333
1967,12,3,20.5161,3.2419
1968,1,15,19.6452,-0.3226
1968,2,29,19.2069,0.9655
1968,3,0.5,21.7097,2.7097
1968,4,51.5,23.2167,6.5333
1968,5,45.5,24.2097,7.9839
1968,6,143.4,22.3167,8.7833
1968,7,9,19.9839,8.6452
1968,8,24,20.6452,8.5323
1968,9,58.5,20.8,8.95
1968,10,20.5,20.4677,6.5323
1968,11,6,21.8667,3.4667
