Anio,Mes,PRECIP_acum,TMAX_prom,TMIN_prom
1961,1,6.2,NA,NA
1961,2,11.5,NA,NA
1961,3,11.6,NA,NA
1961,4,0.2,NA,NA
1961,5,16.2,NA,NA
1961,6,76.2,NA,NA
1961,7,64.4,NA,NA
1961,8,18.8,NA,NA
1961,9,31.2,NA,NA
1961,10,10.9,NA,NA
1961,11,70.1,NA,NA
1961,12,18.6,NA,NA
1962,1,0,NA,NA
1962,2,4.9,NA,NA
1962,3,35.2,NA,NA
1962,4,55.6,NA,NA
1962,5,12.5,NA,NA
1962,6,107.5,NA,NA
1962,7,30,NA,NA
1962,8,27.6,NA,NA
1962,9,61.4,NA,NA
1962,10,14.7,NA,NA
1962,11,22.3,NA,NA
1962,12,7.1,NA,NA
1963,1,0,NA,NA
1963,2,0,NA,NA
1963,3,1.3,NA,NA
1963,4,8.8,NA,NA
1963,5,71.9,NA,NA
1963,6,123.8,NA,NA
1963,7,94.7,NA,NA
1963,8,39.2,NA,NA
1963,9,49.3,NA,NA
1963,10,53.8,NA,NA
1963,11,15.4,NA,NA
1963,12,0.7,NA,NA
1964,1,3.1,NA,NA
1964,2,3.7,NA,NA
1964,3,4,NA,NA
1964,4,13.9,NA,NA
1964,5,40.7,NA,NA
1964,6,38,NA,NA
1964,7,68.1,NA,NA
1964,8,44.7,NA,NA
1964,9,26.4,NA,NA
1964,10,0,NA,NA
1964,11,15.9,NA,NA
1964,12,0.8,NA,NA
1965,1,15.9,NA,NA
1965,2,16.9,NA,NA
1965,3,21.1,NA,NA
1965,4,5.4,NA,NA
1965,5,35.8,NA,NA
1965,6,95.1,NA,NA
1965,7,28.1,NA,NA
1965,8,107.1,NA,NA
1965,9,45.8,NA,NA
1965,10,64.4,NA,NA
1965,11,3.7,NA,NA
1965,12,27.1,NA,NA
1966,1,5.4,NA,NA
1966,2,27.2,NA,NA
1966,3,26.7,NA,NA
1966,4,97.8,NA,NA
1966,5,77.5,NA,NA
1966,6,94.5,NA,NA
1966,7,54.6,NA,NA
1966,8,91.6,NA,NA
1966,9,67.8,NA,NA
1966,10,51.6,NA,NA
1966,11,8.5,NA,NA
1966,12,3.5,NA,NA
1967,1,12.3,NA,NA
1967,2,3.1,NA,NA
1967,3,27.7,NA,NA
1967,4,37.4,NA,NA
1967,5,82.7,NA,NA
1967,6,79.7,NA,NA
1967,7,38.8,NA,NA
1967,8,63.1,NA,NA
1967,9,162.6,NA,NA
1967,10,87.8,NA,NA
1967,11,13.6,NA,NA
1967,12,5.3,NA,NA
1968,1,18.9,NA,NA
1968,2,22.3,NA,NA
1968,3,8.2,NA,NA
1968,4,133.1,NA,NA
1968,5,84.2,NA,NA
1968,6,190,NA,NA
1968,7,42.5,NA,NA
1968,8,19.4,NA,NA
1968,9,48,NA,NA
1968,10,23,NA,NA
1968,11,7.5,NA,NA
1968,12,0,NA,NA
1969,1,14.7,NA,NA
1969,2,12.8,NA,NA
1969,3,10.7,NA,NA
1969,4,58.8,NA,NA
1969,5,65.7,NA,NA
1969,6,66.7,NA,NA
1969,7,94.7,NA,NA
1969,8,227,NA,NA
1969,9,38,NA,NA
1969,10,12.5,NA,NA
1969,11,0,NA,NA
1969,12,0,NA,NA
1970,1,0,NA,NA
1970,2,0,NA,NA
1970,3,0,NA,NA
1970,4,8.6,NA,NA
1970,5,43.1,NA,NA
1970,6,164.8,NA,NA
1970,7,44.5,NA,NA
1970,8,29.8,NA,NA
1970,9,126.7,NA,NA
1970,10,11.5,NA,NA
1970,11,0,NA,NA
1970,12,0,NA,NA
1971,1,0,NA,NA
1971,2,0,NA,NA
1971,3,0,NA,NA
1971,4,5.9,NA,NA
1971,5,53.6,NA,NA
1971,6,97.5,NA,NA
1971,7,34.7,NA,NA
1971,8,64.3,NA,NA
1971,9,69.7,NA,NA
1971,10,36.8,NA,NA
1971,11,16.9,NA,NA
1971,12,8.2,NA,NA
1972,1,5.2,NA,NA
1972,2,0,NA,NA
1972,3,16.9,NA,NA
1972,4,48.3,NA,NA
1972,5,65.2,NA,NA
1972,6,95,NA,NA
1972,7,51.1,NA,NA
1972,8,31.6,NA,NA
1972,9,28.4,NA,NA
1972,10,16.8,NA,NA
1972,11,35.8,NA,NA
1972,12,15.3,NA,NA
1973,1,0,NA,NA
1973,2,0,NA,NA
1973,3,1.2,NA,NA
1973,4,20.2,NA,NA
1973,5,59,NA,NA
1973,6,276.4,NA,NA
1973,7,107.3,NA,NA
1973,8,81,NA,NA
1973,9,104.5,NA,NA
1973,10,81.8,NA,NA
1973,11,1.2,NA,NA
1973,12,0,NA,NA
1974,1,0,NA,NA
1974,2,0,NA,NA
1974,3,46.9,NA,NA
1974,4,25.1,NA,NA
1974,5,104.7,NA,NA
1974,6,135.2,NA,NA
1974,7,69.1,NA,NA
1974,8,13.7,NA,NA
1974,9,113.2,NA,NA
1974,10,2.1,NA,NA
1974,11,0,NA,NA
1974,12,0,NA,NA
1975,1,2.3,NA,NA
1975,2,13.8,NA,NA
1975,3,4.2,NA,NA
1975,4,14.2,NA,NA
1975,5,115.5,NA,NA
1975,6,94.4,NA,NA
1975,7,65.1,NA,NA
1975,8,12.1,NA,NA
1975,9,79,NA,NA
1975,10,8.5,NA,NA
1975,11,0,NA,NA
1975,12,0,NA,NA
1976,1,0,NA,NA
1976,2,11.1,NA,NA
1976,3,14.2,NA,NA
1976,4,131.9,NA,NA
1976,5,112.3,NA,NA
1976,6,121.2,NA,NA
1976,7,110.7,NA,NA
1976,8,105.6,NA,NA
1976,9,56.4,NA,NA
1976,10,132.2,NA,NA
1976,11,3.3,NA,NA
1976,12,6.7,NA,NA
1977,1,1.2,NA,NA
1977,2,24,NA,NA
1977,3,0,NA,NA
1977,4,27.4,NA,NA
1977,5,53.8,NA,NA
1977,6,104.1,NA,NA
1977,7,7.1,NA,NA
1977,8,88.2,NA,NA
1977,9,74.7,NA,NA
1977,10,18.7,NA,NA
1977,11,27.9,NA,NA
1977,12,9.9,NA,NA
1978,1,5.7,NA,NA
1978,2,10.5,NA,NA
1978,3,59,NA,NA
1978,4,19.6,NA,NA
1978,5,41.5,NA,NA
1978,6,169.2,NA,NA
1978,7,105.9,NA,NA
1978,8,74.6,NA,NA
1978,9,81,NA,NA
1978,10,25.1,NA,NA
1978,11,12.2,NA,NA
1978,12,7.2,NA,NA
1979,1,0,NA,NA
1979,2,20.2,NA,NA
1979,3,2.5,NA,NA
1979,4,56.8,NA,NA
1979,5,61.1,NA,NA
1979,6,85.7,NA,NA
1979,7,153.5,NA,NA
1979,8,44.8,NA,NA
1979,9,193.2,NA,NA
1979,10,1.7,NA,NA
1979,11,0,NA,NA
1979,12,11,NA,NA
1980,1,27.2,NA,NA
1980,2,0,NA,NA
1980,3,2.6,NA,NA
1980,4,38.3,NA,NA
1980,5,91.9,NA,NA
1980,6,58.2,23.2833,8.1333
1980,7,62.2,22.8387,7.7903
1980,8,52.3,22.8065,9.0161
1980,9,126.5,21.5,9.1333
1980,10,12.4,22.7903,6.2097
1980,11,5,21.9333,3.35
1980,12,0,19.871,0.9032
1981,1,7.5,18.5,0.629
1981,2,30.8,21.0536,2.4643
1981,3,40.4,23.5645,6.6129
1981,4,48.1,24.9833,6.9
1981,5,82.5,25.8065,9.3065
1981,6,204.3,22.1,10.9
1981,7,103.1,21.8065,8.7742
1981,8,85,22.629,8.7258
1981,9,54.6,21.9333,8.25
1981,10,42.4,22.7581,6.9677
1981,11,0,21.9833,1.6333
1981,12,3.9,20.4677,3.0323
1982,1,0,22.2742,1.7097
1982,2,27.8,22.625,3.1607
1982,3,26.2,25.6613,4.5323
1982,4,43.8,27.0833,6.9
1982,5,109.8,24.9677,9.4839
1982,6,31.6,26.3667,7.4667
1982,7,14.7,23.0484,7.1774
1982,8,11.6,23.7903,6.6129
1982,9,9.8,23.65,7.1667
1982,10,27.4,21.6452,7.2097
1982,11,0,22.6167,2.25
1982,12,0,21.4355,1.5645
1983,1,35.9,19.371,2.2742
1983,2,44.1,20.2143,2.2857
1983,3,16.4,23.7581,4.629
1983,4,0,27.5167,7.65
1983,5,14.6,29.2419,9.0161
1983,9,71.7,21.75,8.9167
1983,10,26.6,21.8387,6.0645
1983,11,21.8,21.5833,6.0833
1983,12,2.4,21.3226,3.371
1984,1,23.9,NA,NA
1984,2,11.7,19.9483,2.8966
1984,3,18.4,21.6034,5.8448
1984,4,3.1,25.3333,8.0667
1984,5,165,28.05,7.4333
1984,6,66.2,23.3833,8.4667
1984,7,101.6,23.7167,8.35
1984,8,43.4,21.5,7.9839
1984,9,158.2,22,9.1833
1984,10,2.1,19.5833,6.4
1984,11,11.5,24.6333,2.2
1984,12,12.2,21.1,1.0667
1985,1,3.2,20.9677,0.9677
1985,2,12.1,20.9286,2.7143
1985,3,2.6,22.0893,4.2857
1985,4,59.1,24.65,6.4167
1985,5,55.4,24.1167,7.05
1985,6,81,25.7333,9.0167
1985,7,63.3,22.4667,7.0833
1985,8,8.7,20.8065,7.4355
1985,9,129.3,23.1833,7.55
1985,10,9.9,21.7667,6.8833
1985,11,19.3,22.5167,2.6367
1985,12,5.5,22.0333,2.8
1986,1,0.8,20.2742,-1.129
1986,2,3.9,20.1607,1.8036
1986,3,0,23.0357,3.1786
1986,4,109.3,22.35,5.7833
1986,5,81.6,26.5667,8.7
1986,6,17.8,24.8833,8.55
1986,7,20.8,24.45,7.1167
1986,8,16,22.7097,6.8548
1986,9,50.6,24.55,7.95
1986,10,12.6,23.75,6.95
1986,11,36.2,22.65,5.7167
1986,12,3.5,22.3833,3.3333
1987,1,0,21.3226,1.2258
1987,2,0,22,3.9286
1987,3,27.8,22.8036,6.5536
1987,4,37,23.8,6.35
1987,5,38.6,24.05,7.5333
1987,6,115.3,25.8833,9.7333
1987,7,49.4,23.4,9.2667
1987,8,8.5,22.2742,7.4839
1987,9,62.9,24.7333,9.05
1987,10,0,25.5667,3.95
1987,11,13.7,21.4833,3.7667
1987,12,0,22.0333,2.8
1988,1,1.2,23.3065,0.9032
1988,2,8.1,20.4138,2.7931
1988,3,10.9,22.9483,5.5345
1988,4,24.8,23.85,7.4167
1988,5,51.4,26.8667,7.9333
1988,6,77.4,27.3333,9.2667
1988,7,84.4,23.7833,8
1988,9,87.8,23.2167,7.5167
1993,7,203.7,NA,NA
1993,8,58.7,NA,NA
1994,6,345,NA,NA
1998,10,49.3,20.871,8.7903
1998,11,19.2,22.5333,5.7
1998,12,0,22.0323,1.871
1999,1,0,21.6774,1.3871
1999,2,0.8,23.4464,1.7321
1999,3,6.2,25.8226,4.0806
1999,4,16.9,27.4,6.8833
1999,5,48.6,26.5484,7.371
1999,6,13.8,25.0833,8.1833
1999,7,85.4,22.5161,7.8387
1999,8,81.7,24.0484,7.9194
1999,9,58.2,20.7167,7.8167
1999,10,269.1,19.3065,5.8226
1999,11,5,19.4667,2.9
1999,12,0.1,18.6935,1.7903
2000,1,0,21.1774,0
2000,2,0,23.0862,1.6897
2000,3,35.8,25.5645,4.2742000000000004
2000,4,18.6,26.2833,5.3333
2000,5,45.9,25.4194,7.8387
