Anio,Mes,PRECIP_acum,TMAX_prom,TMIN_prom
1978,12,23,17.8065,5.4032
1979,1,19.5,17.4355,4.7258
1979,2,14.4,18.3571,4.8393
1979,3,18.5,20.2419,6.129
1979,4,69.7,21.0833,7.3833
1979,5,57.2,22.1452,8.1774
1979,6,45,18.7,6.9333
1979,7,169.5,18.596800000000002,7.1935
1979,8,79,17.7742,7.2742000000000004
1979,9,130.6,17.25,6.8333
1979,10,0,18.2258,5
1979,11,26.5,20.7667,2.8333
1979,12,27.5,22.9355,3.8387
1980,1,12,24.5806,3.8387
1980,2,0,22.5172,2.6552
1980,3,4,23.7419,3.2419
1980,4,32.4,22.0333,5.2333
1980,5,68.4,22.8065,9.0484000000000009
1980,6,58.5,18.45,6.5167
1980,7,112.8,18.1774,7.5484
1980,8,117,18.129,8.7742
1980,9,123.8,17.15,8.2833
1980,10,3.7,18.3097,5.6613
1980,11,38.5,14.7333,4.4833
1980,12,5,13.1677,4.2258
1981,1,28.5,17.1613,3.5806
1981,4,50,18.85,6.85
1981,5,54.9,23.7903,10.371
1981,6,291.2,19.9333,9.3
1981,7,90.2,17.871,8.1613
1981,8,88.4,17.6774,7.5645
1981,9,63.5,18.15,7.1333
1981,10,24.8,16.5323,5.0968
1981,11,0,17.1167,2.3833
1981,12,0,17.6935,3.2581
1982,1,0,21.4355,4.1613
1982,2,20.2,18.3036,6.4643
1982,3,45.3,18.9516,6.2258
1982,4,0,20.6167,8.8167
1982,5,106.7,21.3065,8.1452
1982,6,59.7,15.87,7.5667
1982,7,36.9,14.2581,5.9516
1982,9,25.3,20.5167,9.2333
1982,10,38.7,14.7258,6.5968
1982,11,5.5,17.8167,6.3
1982,12,2.8,15.7419,4.1452
1983,1,8.8,16.4032,1.7581
1983,2,62.9,18.9464,2.6964
1983,3,25.1,20.7097,5.3226
1983,4,0,24.9833,7.6833
1983,5,2.5,25.1452,8.4032
1983,6,52.6,22.85,8.8667
1983,7,198.2,17.871,8.1129
1983,8,58.9,18.7419,7.1129
1983,9,87.3,18.1667,7.2833
1983,10,12.8,18.0161,4.2419
1983,11,0,16.3167,2.25
1983,12,0,17.2419,0.8548
1984,1,38.5,15.5645,3.7645
1984,2,10.6,19.4138,4.7241
1984,3,13.4,22.9355,5.7903
1984,4,0,25.0667,6.2167
1984,5,87,21.9194,5.9355
1984,6,95.2,17.9667,7.3333
1984,7,80.6,16.2581,7.5806
1984,8,67.1,16.6774,6.6452
1984,9,309.7,16.9,6.9833
1984,11,0,15.9667,2.0333
1984,12,0,17.4677,2.129
1988,5,45,23.1613,9.0323
1988,9,133,17.5667,7.2
1988,10,15,17,6.1935
1989,1,0,17.6774,4
1989,2,0.03,17.2857,4.2857
1989,3,9.5,19.9677,5.4516
1989,4,58.1,20.0667,5.7667
1989,5,94.1,20.5161,7.1935
1989,6,148,18.4667,8.5
1989,7,135,17.7419,7.7097
1990,1,0.09,17.0645,4.4194
1990,2,0.04,19.1429,5.4643
1990,3,3.01,19.9677,6.7742000000000004
1990,4,76,21.3333,8.0667
1990,5,16,21.1935,7.8387
1990,6,57,19.0333,7.8333
1990,8,72,17.2903,8.4839
1990,9,83,16.6667,7.9333
1990,10,42,16.2258,8.1935
1990,11,11,17.8333,5.5333
1990,12,0.02,15.8065,6.2258
