Anio,Mes,PRECIP_acum,TMAX_prom,TMIN_prom
1965,7,63,21.1452,10.8323
1965,8,45.7,21.6774,9.3065
1965,9,21.6,21.9,10.3167
1965,11,0,21.9833,-0.85
1965,12,16.5,20.6774,1.5161
1966,1,3,19.9677,0.1613
1966,2,14.5,21,3.0714
1966,3,29,22.7903,2.3548
1966,6,67.9,23.6,8.6333
1966,7,26.2,25.5484,9.4839
1966,8,61.6,23.0323,8.3226
1966,9,94.8,21.8333,8.1
1966,10,19.7,20.5806,5.9355
1966,11,0,20.0333,-1.4333
1966,12,1,20.3871,-3.9032
1967,1,7.6,20.6774,-2.7419
1967,2,0,22.7857,-1.6429
1967,3,31.2,24.8065,-0.2903
1967,4,23.7,25.7333,3.9
1967,5,62.1,26.7097,5.7097
1967,6,19.2,24.8667,9.6
1967,7,33,22.4194,6.9032
1967,8,54.3,22.9677,8.3548
1967,9,151.4,21.8667,8.9667
1967,10,80,21.0645,5.9355
1967,11,0,21.6667,1
1967,12,0,21.4194,1.8387
1968,1,11.1,21.2419,-2.7097
1968,2,28.9,19.2759,-0.8966
1968,3,0,22.3226,0.4839
1968,4,83.8,24.4,5.9333
1968,5,31.3,25.096800000000002,7.2258
1968,6,114.2,24,8.1667
1968,7,26.5,25,4.2333
1968,8,20.1,22.6129,6.9355
1968,9,45.7,22.1,8.6333
1968,10,11,21.6452,6.3871
1968,11,3.5,21.9667,0.7
1968,12,5.5,19.7097,1.8065
1969,1,22.38,21.0645,-2.0645
1969,2,6.51,22.7143,1.3929
1969,3,14.4,24.3548,6.5484
1969,4,36.3,26.7333,5.7333
1969,5,43,25.1935,5.7419
1969,6,27.3,25.6667,6.9333
1969,7,41.7,23.0645,8.4194
1969,8,161.9,21.1613,9.4194
1969,9,56.7,20.9333,9.6
1969,12,0,20.6667,-0.4333
1970,1,3.5,21.0323,-1.5484
1970,2,10.5,20.3571,1.3214
1970,3,0,25.5806,5.129
1970,4,0,28.3,6.1
1970,5,13.7,24.129,4.3548
1970,6,89.5,22.7333,8.6667
1970,7,28.2,22.2581,8.2581
1970,8,66.2,21.8387,8.6774
1970,9,95.2,20.7667,8.7333
1970,10,7.8,21.9032,4.8065
1970,11,16,20.5714,-0.7857
1971,1,5.25,21.4839,-3.7419
1971,2,0,23.1429,-1.8571
1971,3,0,24.6774,0.8387
1971,4,12.58,24.6333,4.4833
1971,5,40.8,25.6129,5.9032
1971,6,40.24,23.9,8.2333
1971,7,15.62,21.9667,6.3
1971,8,36.86,21.1935,6.1935
1971,9,34.66,21.2667,7.6333
1971,10,67.16,20.5161,5.0323
1971,11,21.6,20,0.2
1971,12,5.13,20.6452,-0.3548
1972,1,0.24,21.7419,-1.2903
1972,2,0,23.069,-2.6552
1972,3,28.5,23.6129,2.4516
1972,4,30,27.2667,3.5667
1972,5,60.3,26.3548,6.4516
1972,6,68.5,22.7333,7.6667
1972,7,43.5,21.3871,8.3548
1972,8,25.5,21.2903,6.3548
1972,9,67,22.2667,6.9
1972,10,11.5,21.6452,4.1613
1972,11,29,21.7667,3.7667
1972,12,5.5,19.9355,-1.2581
1973,1,0,21.2581,-4.3226
1973,2,0,22.6071,1.9643
1973,3,3,28.5806,5.3226
1973,4,23,27.4667,6.5
1973,5,22.5,25.9032,4.6129
1973,6,161.6,23.2333,7.4
1973,7,76.5,21.5161,8.129
1973,8,76.5,21.1613,7.9677
1973,9,39.5,21.9,6.6333
1973,10,45.5,20.6774,6.2258
1973,11,11.5,19.9333,1.2
1973,12,0,18.1613,-1.5484
1974,1,0.7,21.7097,-1.1613
1974,2,0,20.75,-2.1786
1974,3,37.2,24,-0.3226
1974,4,48,24.2667,4.1333
1974,5,120.5,25.8387,6.7742000000000004
1974,6,86,21.1333,7.2667
1974,7,74,20.5161,5.2258
1974,8,1.5,22.7097,3.7419
1974,9,158,20.2667,5.2333
1974,10,1,18.6129,4.4194
1974,11,2.5,20.0333,-1.1333
1974,12,0,21.3548,-2.8387
1975,1,12.5,19.8387,-2.7097
1975,2,18,22.2857,-0.4643
1975,3,1.5,25.7097,2.2903
1975,4,3.5,26.7,2.6
1975,5,155.5,23.9355,7.0323
1975,6,64.5,21.0667,8.1
1975,7,42,19.7419,6.0968
1975,8,11.5,21.2903,5.4516
1975,9,75.5,19.069,5.8966
1975,10,13.5,20,4.0645
1975,11,0,19.8333,-2.2333
1975,12,0,18.3871,-2.3226
1976,1,0,18.0645,-2.1935
1976,2,17,18.6552,-5.1379
1976,3,3,25.4516,-0.6452
1976,4,73.5,22.6,4.6
1976,5,90,22.0645,5.129
1976,6,71.5,20.9333,6.2333
1976,7,91,20.2581,6.9355
1976,8,42.5,20.6452,5.2903
1976,9,90.5,22.4,5.1333
1976,10,96.65,20.6129,4.871
1976,11,2,19.2667,2.4667
1976,12,2,21.1613,0.0323
1977,1,0,21.6452,-2.4839
1977,2,16,20.5714,-0.7857
1977,3,29,21.5714,0.9286
1977,4,31,21.7667,0.6333
1977,5,44,25.0323,4.129
1977,6,92,20.7333,5.7333
1977,7,8.5,22.3548,5.2258
1977,8,55,23.1,1.7667
1977,9,16,21.7333,5.4
1977,10,14.5,20.9032,5.1935
1977,11,33.5,20.3,0.5667
1977,12,9.5,20.3226,-0.2258
1978,1,5.5,21.2903,-2.1613
1978,2,6,18.5714,-0.0357
1978,3,48.5,21.5806,0.6774
1978,4,29.5,26.5,2.8667
1978,5,48,25.1935,5.4516
1978,6,176,20.4667,8.2
1978,7,39,20.5806,7.3226
1978,8,48.5,22.0645,5.6452
1978,9,106.5,20.7,6.7333
1978,10,16,19.1613,5.1935
1978,11,3.5,20.9,3.4667
1978,12,4,21.5806,0.9032
1979,1,0,21.1613,-3
1979,2,29,21.5714,0.9286
1979,3,1.5,25.1613,1.5161
1979,4,65.5,26.0333,4.0333
1979,5,23.5,25.4516,5.0323
1979,6,54,23.1,5.3
1979,7,71,23,6.5161
1979,8,56.5,21.5484,6.0323
1979,9,147,19.8,5.5167
1979,10,17,22.2903,-0.3871
1979,11,0,19.6333,2.9
1979,12,6,20.6452,0.4194
1980,1,11,19.6774,-1.3548
1980,2,0,21.1379,-1.1724
1980,3,0,27.1613,1.4516
1980,4,22.5,25.9667,3.7
1980,5,90.2,25.9355,8.2903
1980,6,37.5,22.8667,6.0667
1980,7,35.1,22.9677,5.4839
1980,8,50,22.8387,7.6129
1980,9,133.4,21.5,7.4
1980,10,11.5,21.871,3.7419
1980,11,15.2,20.5,0.9
1980,12,0,19.2258,-4.1774
1981,1,5.77,18.096800000000002,-2.1613
1981,2,5.28,19.3214,0.6786
1981,3,43.23,24.0645,4.5484
1981,4,19.12,24.6333,5
1981,5,58.2,25.3548,7.0645
1981,6,200.1,22.9667,9.6
1981,7,52.5,21.6452,8.2581
1981,8,88.97,22.1935,7.6129
1981,9,57.92,21.6333,7.3
1981,10,49.23,22.2903,5.2258
