Anio,Mes,PRECIP_acum,TMAX_prom,TMIN_prom
1978,12,25,17.129,5.5484
1979,1,28,16.5161,2.5806
1979,2,27,16.75,2.7143
1979,4,90.5,21.6667,7
1979,5,60,25.9355,6.9032
1979,6,145.5,25.1333,6.6667
1979,7,308.8,24.1613,6.7742000000000004
1979,8,196,22.8387,7.0645
1979,9,283.4,23,7.1667
1979,10,13,23.5161,4.7419
1980,2,18.5,24.8621,4.3103
1980,3,4,28.1613,6.6129
1980,4,60.5,26.8333,6.0667
1980,5,57.5,27.4516,7.8387
2011,1,0,NA,NA
2011,2,0,NA,NA
2011,3,0,NA,NA
2011,4,0,NA,NA
2011,5,0,NA,NA
2011,6,0,NA,NA
2011,7,0.01,8,0
2011,8,0,NA,NA
2011,9,0,NA,NA
2011,10,163.5,17.096800000000002,3.3548
2011,11,51.5,18.8667,3.4333
2011,12,2,21.3226,3.0645
2012,1,24,18.6452,3.2258
2012,2,13,17.931,3.7586
2012,3,31.5,21.3871,3.7097
2012,4,15,19.7333,3.9
2012,5,69,19.3548,4.5484
2012,6,359,17.9333,4.7333
2012,7,275,17,4.7419
2012,8,350,17.4323,4.7742000000000004
2012,9,233.5,17.4667,4.5333
2012,10,72,18.3548,4.0968
2012,11,41,15.1667,2.7333
2012,12,2,19.8333,3.2
2013,1,11,19.129,3.129
2013,2,10,22.8571,4.5714
2013,3,8,20.9355,3.8387
2013,4,49,22.4667,5.8667
2013,5,83,20.2903,5.3065
2013,6,236,18.4667,4.6
2013,7,453.5,17.871,4.4516
2013,8,682,17.6452,4.4194
2013,9,569.6,16.4333,4.7667
2013,10,61.7,18.8065,4.6129
2013,11,26,16.9333,3.7333
2013,12,33,19.5161,3.7419
2014,1,2,18.5806,2.0645
2014,2,0,23.5,3.8571
2014,3,16,22.129,4.7742000000000004
2014,4,30,21.8,4.2333
2014,5,84,18.4839,4.2903
2014,6,129.5,17.4,4.2333
2014,7,93.5,19.0323,4.7419
2014,8,167,20.3871,4.871
2014,9,129,18.7667,4.7333
2014,10,155.5,18,4.3226
2014,11,32,16.7,3.9333
2014,12,16.5,18.7097,3.5484
2015,1,38,19.3226,3.1935
2015,2,6,20.0357,3.2857
2015,3,122,18.7419,3.9677
2015,4,26,22.1333,4.7
2015,5,111.5,18.5161,4.1935
2015,6,161,17.0333,3.9
2015,7,122,19.7097,3.871
2015,8,150,20.5161,3.7742
2015,9,147,18.1333,3.8
2015,10,35,19.4194,4.0645
2015,11,36,19.1034,4.3103
2015,12,5,19.871,4.5484
2016,1,34,15.8387,3.9355
2016,2,0,19.2759,2.4828
2016,3,31,19.5806,4.3548
2016,4,83.5,23.6667,4.8
2016,5,38.5,22.8387,4.9355
2016,6,207,19.3333,4.0667
2016,7,207.5,20.3871,4.1935
2016,8,359.5,20.6129,4.3548
2016,9,176.5,19.4333,4.4
2016,10,60,17.1935,3.8387
2016,11,27,17.3667,3.5333
2016,12,61.5,19.4516,4.129
2017,1,0,21.4839,3.1613
2017,2,NA,22.25,3.375
2017,3,38,19.6774,3.4516
2017,4,43.2,21.7333,4.5667
2017,5,54.5,23.8387,5.0968
2017,6,165,19.0667,4.8
2017,7,124.1,19.4138,4.7586
2017,8,247,20.129,4.9355
2017,9,191.5,17.7667,4.6
2017,10,116,18.2903,4.5806
2017,11,4,19.2,2.9
2017,12,1,21.871,2.5806
2018,1,19,15.9677,1.7097
2018,2,6,21.2143,3.3929
2018,3,24,23.096800000000002,4.3226
2018,4,55.5,20.5714,4.2857
2018,5,29,20.3548,4.4516
2018,6,NA,19.12,4.2
2018,7,52.1,22.2903,4.2581
2018,8,254,19.7097,4.0645
2018,9,157,21.5,4.2667
2018,10,235.5,18.2258,3.871
2018,11,NA,20.2941,3.8235
2018,12,19,18.9355,3.2581
2019,1,3,19.6129,3.1613
2019,2,18.5,25.4286,4.6071
2019,3,4,22.6452,4.5161
2019,4,17,23.8,4.4667
2019,5,38.01,22.4839,4.2581
2019,6,170.5,20.3,4.5
2019,7,76,21.4194,4.5484
2019,8,93,22.2333,4.5
2019,9,145.5,19.4667,4.3
2019,10,154.5,18.0323,4.2581
2019,11,29,20.0333,4.4333
2019,12,3,20.5806,3.6129
2020,1,18.5,18.3548,3.4194
2020,2,9,21.1379,3.6897
2020,3,1,24.9677,4.4194
2020,4,21.5,24.5333,4.6
2020,5,83,20.9355,4.4194
2020,6,154.5,20.3,4.6667
2020,7,174,21.0323,4.3548
2020,8,235,19.7419,4
2020,9,238,18.3667,4.1333
2020,10,36,21.0323,3.3871000000000002
2020,11,19.5,20.6333,3.4333
2020,12,3.5,20.1935,3.6774
2021,1,49.5,19.6129,3.8065
2021,2,7,22.3929,3.6429
2021,3,9,23.9355,4.1613
2021,4,31,23.2667,4.7667
2021,5,80.1,19.7742,4.129
2021,6,254.5,18.4333,4.1333
2021,7,125.5,20.1613,4.3226
2021,8,259.9,19.6129,4.0968
2021,9,174.5,19.6667,4.0667
2021,10,NA,21.2692,4.4615
2021,12,2,23.3226,3.6129
2022,1,21,19.3548,3.2258
2022,2,17,20.8929,3.5
2022,3,9.01,23.7097,3.7097
2022,4,17,23.0333,4.1667
