Anio,Mes,PRECIP_acum,TMAX_prom,TMIN_prom
1969,1,31.5,21.6935,13.0323
1969,2,22.72,23.9643,14.4286
1969,3,53.6,22.1613,14.1774
1969,4,50.81,27.8167,17.6833
1969,5,24.3,28.629,18.4194
1969,6,145.3,29.4,19.4333
1969,7,250,27.4667,18.4667
1969,8,405,26.3387,18.4677
1969,9,294.1,25.15,18.0333
1969,10,35.5,26.4194,17.096800000000002
1969,11,11.4,24.3571,14.7857
1969,12,15.3,23.3871,13.7742
1970,1,14.1,22,12.6774
1970,2,42,26.875,12.2143
1970,3,9.1,25.0355,14.3871
1970,4,5,30.3167,18.4
1970,5,16.1,27.9194,17.1774
1970,6,114.8,28.2,18.9167
1970,7,198.1,25.871,17.8065
1970,8,163.4,26.5161,18.3226
1970,9,364.6,26.05,18
1970,10,35.4,25.6129,17.096800000000002
1970,11,9.7,22.6667,12.1667
1970,12,0.4,25.129,13.9677
1971,1,25.8,24.2097,13.4677
1971,2,2.5,25.75,14.0714
1971,3,3.7,27.629,14.9839
1971,4,2.4,28.85,16.6167
1971,5,41.4,29.8226,19.129
1971,6,132.9,28.5167,18.5667
1971,7,152.5,26.5806,17.4032
1971,8,162.8,26.0097,17.129
1971,9,189.7,26.9667,18.1667
1971,10,79.5,25.4032,17.2742
1971,11,31.6,25.3833,15.65
1971,12,7.6,25.9032,15.2258
1972,1,16.3,25,14.629
1972,2,8.1,24.2241,13.4138
1972,3,19.4,28.3226,16.4032
1972,4,76.4,29.65,18.5167
1972,5,140,28.096800000000002,18.9032
1972,6,183.1,27.55,18.5167
1972,7,476.6,25.4516,17.6452
1972,8,230.7,25.871,17.2742
1972,9,124.2,27.0333,17.6333
1972,10,50.9,27.0161,17.1935
1972,11,55.2,25.5333,16.7167
1972,12,8.6,23.7903,13.9194
1973,1,23.8,21.9032,12.5161
1973,2,48.7,20.9536,12.7679
1973,3,2.5,28.6774,16.5161
1973,4,34.4,28.25,16.95
1973,5,170.3,30.2419,18.8065
1973,6,361.8,27.4833,18.4167
1973,7,141.7,26.7258,18
1973,8,183.6,26.2903,17.8226
1973,9,187.5,27.2667,18.2833
1973,10,72.6,25.4355,16.9355
1973,11,2.9,27.0833,15.95
1973,12,58.5,23.1129,13
1974,1,50.1,24.5645,14.5806
