Anio,Mes,PRECIP_acum,TMAX_prom,TMIN_prom
1944,8,357.7,NA,NA
1944,9,910.1,NA,NA
1944,10,94.9,NA,NA
1944,11,99.5,NA,NA
1944,12,63.1,NA,NA
1945,1,50,NA,NA
1945,2,12,NA,NA
1945,3,7.5,35.7188,13.9062
1945,4,7.5,36.45,16.85
1945,5,64.5,37.9677,16.371
1945,6,231.1,27.3889,15.9444
1945,7,280.8,27.5161,14.8387
1945,8,326.5,26.096800000000002,15.3387
1945,9,270,26.4333,15.1333
1945,10,208.6,24.7097,13.7258
1945,11,86,24.6667,12.3333
1945,12,33.5,23.4516,11.129
1946,1,78,21.4839,11.1452
1946,2,73,22.75,11.0357
1946,3,47,26.2097,12.5806
1946,4,94.5,27.2,13.7167
1946,5,152.5,29.2903,16.4516
1946,6,358.5,26.1333,14.9333
1946,7,124,27.6452,14.0161
1946,8,182.5,28.2419,14.6613
1946,9,430,27.05,15.0333
1946,10,373.5,25.1774,14.3548
1946,11,38,24.2,13.7
1946,12,20.5,21.5,11.3387
1947,1,27,22.1129,11.0323
1947,2,76,20.875,10.8571
1947,3,156.5,23.6935,12.4516
1947,4,31.5,27.9667,16.0167
1947,5,332.5,25.9032,16.6129
1947,6,189.5,27.5333,16.3333
1947,7,252,26.4194,15.0645
1947,8,360,25.2419,15.2258
1947,9,162,25.25,14.9833
1947,10,192,24.9032,15.1935
1947,11,255,24.4833,13.9
1947,12,52.5,20.8548,11.6452
1948,1,114.5,18.6452,10.6774
1948,2,42.5,23.1034,11.9828
1948,3,95,26.371,14.5
1948,4,28.5,27.05,13.9833
1948,5,159.5,27.9355,16.3226
1948,6,438.5,26.1,15.46
1948,7,181,26.1226,15.371
1948,8,372.5,27.7097,15.3548
1948,9,227.5,26.2833,15.8
1948,10,73,24.0484,14.371
1948,11,53.5,23.5167,13.8
1948,12,27,23.1774,12.0323
1949,1,82.5,23.4516,11.5323
1949,2,137.5,23.9821,12.3214
1949,3,217,25.9194,13.9355
1949,4,86,25.6167,15
1949,5,220,27.8548,16.129
1949,6,333.5,27.3333,16.4467
1949,7,188,27.4839,15.0806
1949,8,244,26.871,15.2581
1949,9,271.5,25.5667,15.7833
1949,10,142,24.55,14.85
1949,11,4.5,21.3,9.3167
1949,12,18,22.371,11.2097
1950,1,151.5,22.6452,11.4677
1950,2,NA,22.0714,12.1429
1950,3,88.5,26.4839,14.2097
1950,4,107,26.45,14.5833
1950,5,162,29.3871,16.9194
1950,6,253.5,26.3167,15.8
1950,7,166.5,26.0484,15.1774
1950,8,325,26.7581,14.5
1950,9,304.5,25.6833,15.9
1950,10,275.5,23.5161,14.3387
1950,11,22,22.2333,10.7167
1950,12,37,21.8839,10.129
1951,1,24.5,22.6129,10.5968
1951,2,9,22.8214,9.8393
1951,3,72,24.596800000000002,12.5
1951,4,30,26.5667,15.4
1951,5,286,27.2097,16.2581
1951,6,631.5,27.3333,16.1333
1951,7,520,25.4355,15.3548
1951,8,224.5,26.5645,15.9032
1951,9,269,25.2167,15.9167
1951,10,155,24.3387,14.4677
1951,11,78,22.6667,13.0167
1951,12,36,24.1935,12.871
1952,1,31.5,23.2419,11.6774
1952,2,33.5,23.3793,11.3621
1952,3,50.5,26.3548,14.9194
1952,4,124.5,23.9333,15
1952,5,220,26.5645,15.7742
1952,6,850,25.0333,16.15
1952,7,402.5,25.2742,14.9516
1952,8,283,26.4677,15.1935
1952,9,543,24.4,15.9333
1952,10,107.5,22.8387,11.9677
1952,11,172.5,21.7,13.1833
1952,12,34.5,21.6129,11.0806
1953,1,28.5,22.096800000000002,9.2903
1953,2,25.5,24.2679,12.0893
1953,3,45.1,27.8387,14.3387
1953,4,138,29.6333,16.9167
1953,5,116.5,30.6129,16.871
1953,6,712.5,27.2,15.85
1953,7,379,26.5806,15.2258
1953,8,243,27.7258,15.7581
1953,9,224,26.5,15.5667
1953,10,147,23.5161,14.7581
1953,11,42,22.7,12.6167
1953,12,20.5,21.3065,11.5806
1954,1,22.6,23,11.1935
1954,2,NA,23.7143,11.5
1954,3,27.5,26.8226,13.7581
1954,4,105,27.8667,14.7667
1954,5,313.5,27.5484,15.9032
1954,6,587,25.9333,16.3
1954,7,300,25.5484,14.9677
1954,8,234,27.1613,15.1774
1954,9,492,25.5667,15.95
1954,10,297,23.3387,14.1774
1954,11,NA,21.5167,11.6667
1954,12,15.5,21.0806,9.7419
1955,1,43,21.1452,10.548400000000001
1955,2,23,23.1607,11.375
1955,3,33.5,25.8226,12.7419
1955,4,35.5,29.3333,16.6667
1955,5,36.5,29.6613,16.7581
1955,6,254,27.55,16.1833
1955,7,806.5,23.6129,15.2742
1955,8,249.5,26.6452,15.5645
1955,9,365,24.75,16.1333
1955,10,271,23.3226,13.8871
1955,11,109,23.2833,13.5
1955,12,65,21.5645,11.0968
1956,1,66,21.596800000000002,10.129
1956,2,27,23.7414,12.6897
1956,3,52.5,25.3548,12.9839
1956,4,119,27.95,14.95
1956,5,217.5,26.0161,15.1935
1956,6,364,24.9333,15.4167
1956,7,256.5,25.371,14.629
1956,8,265.5,27.1129,15.2419
1956,9,380,24.4833,14.9
1956,10,91,24.6452,13.8226
1956,11,49.5,21.2,12.4
1956,12,68.5,21.2742,11.9032
1957,1,25.5,23.3871,10.9032
1957,2,NA,24.6429,12.3571
1957,3,36.5,25.6613,13.7258
1957,4,144.5,27.6833,16.1333
1957,5,191,28.096800000000002,16.5645
1957,6,196.5,28.9333,17.2667
1957,7,233,26.7903,15.4355
1957,8,338.5,26.9194,15.4194
1957,9,420,25.9833,15.7
1957,10,91,25.096800000000002,13.5968
1957,11,43.5,23.8,13.8167
1957,12,25,21.6774,10
1958,1,93,19.4516,9.2742
1958,2,43,21.125,10.6571
1958,3,66,23.7097,13.5323
1958,4,46.4,28.6667,15.85
1958,5,127,26.3871,15.6129
1958,6,346.5,27.25,16.8833
1958,7,521.5,25,16.1129
1958,8,269,27.5806,15.871
1958,9,485.5,25.55,16.2667
1958,10,381.5,23.6613,15.371
1958,11,184,22.8333,14.0833
