Anio,Mes,PRECIP_acum,TMAX_prom,TMIN_prom
2019,4,53.45,NA,NA
2019,5,103.34,NA,NA
2019,6,267.73,NA,NA
2019,7,71.03,NA,NA
2019,8,175.12,NA,NA
2019,9,251.64,NA,NA
2019,10,190.02,NA,NA
2019,11,22.16,NA,NA
2019,12,9.94,NA,NA
2020,1,60.02,NA,NA
2020,2,18.64,NA,NA
2020,3,4.41,NA,NA
2020,4,118.61,NA,NA
2020,5,112.55,NA,NA
2020,6,265.64,NA,NA
2020,7,91.36,NA,NA
2020,8,178.73,NA,NA
2020,9,251.88,NA,NA
2020,10,16.87,NA,NA
2020,11,35.12,NA,NA
2020,12,31.42,NA,NA
2021,1,150.02,NA,NA
2021,2,NA,NA,NA
2021,3,14.03,NA,NA
2021,4,64.42,NA,NA
2021,5,180.57,NA,NA
2021,6,356.31,NA,NA
2021,7,133.03,NA,NA
2021,8,233.49,NA,NA
2021,9,386.04,NA,NA
2021,10,133.23,NA,NA
2021,11,70.03,NA,NA
2021,12,25.22,NA,NA
2022,1,65.77,NA,NA
2022,2,52.13,NA,NA
2022,3,32.62,NA,NA
2022,4,NA,NA,NA
2022,5,15.24,NA,NA
2022,6,315.24,NA,NA
2022,7,68.75,NA,NA
2022,8,186.72,NA,NA
2022,9,269.67,NA,NA
2022,10,144.59,NA,NA
2022,11,59.34,NA,NA
2023,1,11.42,NA,NA
2023,2,17.84,NA,NA
2023,3,150.54,NA,NA
2023,5,91.16,NA,NA
2023,6,89.84,NA,NA
2023,7,224.25,NA,NA
2023,8,353.87,NA,NA
2023,9,163.35,NA,NA
2023,10,112.75,NA,NA
2023,11,49.04,NA,NA
2023,12,NA,NA,NA
2024,1,127.63,NA,NA
2024,2,24.66,NA,NA
2024,3,35.9,NA,NA
2024,4,59.7,NA,NA
2024,5,0.5,NA,NA
2024,6,756.02,NA,NA
2024,7,221.48,NA,NA
2024,8,199.94,NA,NA
2024,9,371.16,NA,NA
2024,10,217.94,NA,NA
2024,11,21.24,NA,NA
2024,12,103.45,NA,NA
2025,1,73.35,NA,NA
