Anio,Mes,PRECIP_acum,TMAX_prom,TMIN_prom
1975,3,7.12,26.4194,17.2903
1975,4,4,29.5667,18.8333
1975,5,151,30.3548,19.9032
1975,6,271,28.2667,19.4333
1975,7,149,26.9032,19.7097
1975,8,107,25.9355,19.3548
1975,9,312,26.6,19.3
1975,10,127,25.1935,19.096800000000002
1975,11,15,22.5,19
1976,1,5,19.9032,14.6806
1976,2,19,21.3793,16.0345
1976,3,14,26.129,20.0645
1976,4,94,24.5,19.2333
1976,5,48,29.4548,19.5161
1976,6,655,26.8,19.2333
1976,7,264,25.7742,19.6129
1976,8,137,25.2258,19.2581
1976,9,170,24.2,18.8333
1976,10,205,22.2935,17.6452
1976,11,151,19.52,16.6333
1976,12,40,20.1194,12.9355
1977,1,22.02,18.9032,12.871
1977,2,46,18.7407,15.3704
1977,3,66,26.129,16
1977,4,96,26.2667,16.6667
1977,5,96,30.1935,19.4839
1977,6,270.5,28.8667,17.8667
1977,7,191,28.9677,17.8387
1977,8,248.5,27.9032,16.8387
1977,9,209.5,27.3667,17.6333
1977,10,179,26.3548,16.096800000000002
1977,11,43,25.5333,15.5
1977,12,22.2,24.3548,13.0323
1978,1,25.5,22.2,11.871
1978,2,76.5,22.5393,12.9643
1978,3,72,25.4516,13.7742
1978,4,33.5,30.0667,17.6
1978,5,150.5,31.7097,19
1978,6,345.5,29.0033,18.7
1978,7,273,28.5161,18.7419
1978,8,307,27.9032,16.3548
1978,9,283,27.6033,17.4
1978,10,288,26.5806,16.8387
1978,11,66,25.2,15.0667
1978,12,70.5,25.1645,14.6452
1979,1,27.5,24.5516,13.129
1979,2,47,25.2536,14.0714
1979,3,40,28.4839,16.8387
1979,4,259,31.9,18.6
1979,5,143,29.6452,19.129
1979,6,209,28.7333,19.5667
1979,7,683.5,29.9677,19.5484
1979,8,373,28.3548,18.8065
1979,9,712,25.9,16.2333
1979,10,63,27.4194,17.6129
1979,11,24,25.1667,15.0333
1979,12,83,22.5516,14.0968
1980,1,48,22.971,13.9032
1980,2,32,24.8621,13.8276
1980,3,7,29.3548,16.8065
1980,4,49,29.6333,17.7
1980,5,147,33.7419,21.9677
1980,6,406,29.5,19.9
1980,7,277,28.4839,18.9355
1980,8,480,27.4839,19.4194
1980,9,358,27.0333,20.3333
1980,10,67,26.1355,18.3871
1980,11,210,22.64,14.7333
1980,12,67,21.4871,14.0323
1981,1,137,19.6935,12.5806
1981,2,75,22.5,13.8929
1981,3,134,25.3581,15.9355
1981,4,63,30,19.2
1981,5,262,30.096800000000002,20.5484
1981,6,816,27.27,20.4333
1981,7,534,26.7419,19.7419
1981,8,510,27.5806,20.3548
1981,9,568,27.2,21.3
1981,10,33,26.3903,20.1935
1981,11,15,25.8667,16.9667
1981,12,92.07,24.0323,17.5484
1982,1,0,25.9677,14.871
1982,2,79,25.6786,15.7857
1982,3,90,28.6516,17.4194
1982,4,84,31.1667,19.9333
1982,5,216,28.2935,20.871
1982,6,106,30.0333,20.7667
1982,7,385,27.8065,19.096800000000002
1982,8,64,28.6129,19.3226
1982,9,252,28.7067,19.8667
1982,10,162,26.7452,19.4194
1982,11,126,25.9,17.1333
1982,12,64,23.229,14.6774
1983,1,46,21.7774,12.9032
1983,2,41,24.6179,16.3214
1983,3,69,27.1968,14.8065
1983,4,10,30.3333,17.5667
1983,5,71,34.0645,24.4194
1983,6,398,31.1667,22.2667
1983,7,765,28.229,20
1983,8,399,28.5161,19.3871
1983,9,333.05,27.2667,19.9
1983,10,276.05,25.5161,17.8387
1983,11,127.06,25.3,16.5667
1983,12,11.05,24,14.8387
1984,1,123.05,20.096800000000002,13.0323
1984,2,54,21.5862,13.3103
1984,3,65,26.5161,15
1984,4,8,32.8333,18.4667
1984,5,122,32.5806,19.9677
1984,6,360,27.4,18.9667
1984,7,678,26.5161,17.9677
1984,8,495,26,18.6774
1984,9,653,24.9,19.3
1984,10,30,28.4194,19.2258
1984,11,63,26.4,16.9667
1984,12,98,25.0323,14.5806
1985,1,8,22.9667,11.8667
1985,2,0,21.0357,12.6071
1985,3,29,25.4194,14.0968
1985,4,111,27.2,18.6333
1985,5,50,30.3871,18.2258
1985,6,518,26.7,17.5333
1985,7,169,27.2258,16.1935
1985,8,177,28.8387,19.4516
1985,9,218,29.0667,19.2
1985,10,249,28.6129,16.7742
1985,11,60,25.7667,12.6667
1985,12,72,25.4839,14.8387
1986,1,9,23.3226,13.6774
1986,2,29,26.7143,12.5714
1986,3,49,27.7742,13.5806
1986,4,32,30.0333,18.6333
1986,5,48.1,31.9032,20.129
1986,6,252,30.2667,20.5
1986,7,156,30.7097,17.9677
1986,8,144,31.7,17.4667
1986,9,409,30.6333,17.8667
1986,10,181.5,31.0645,18.0645
1986,11,293,30.3103,17.4483
1986,12,173,26.8387,15.0968
1987,1,49,25.0323,12.3548
1987,2,20,27.1429,13.7857
1987,3,14,22.096800000000002,15.129
1987,4,39,26,16.1333
1987,6,259,27.6333,20.2667
1987,7,125,29.4516,20.2258
1990,2,87,30.3571,16
1990,3,51,28.871,15.4194
1990,4,33.6,31.7,18.7
1990,6,228,31.4667,17.9333
1990,7,355.5,30.096800000000002,17.4516
1990,10,205,29.871,16.7097
1990,11,72,30.1,18.6
1990,12,5,28.5806,14.9032
