Anio,Mes,PRECIP_acum,TMAX_prom,TMIN_prom
1961,6,461.5,23.0833,14.7667
1961,7,659,22.8548,13.5968
1961,8,169,23.1677,13.0774
1961,9,272.5,23.3333,14.1467
1961,10,48,21.0645,12.0645
1961,11,212.5,21.3,12.1433
1961,12,95,21.4871,9.4452
1962,1,20,18.8355,6.9935
1962,2,3,25.6929,10.3929
1962,3,29.5,24.5097,10.9677
1962,4,121.5,24.0933,12.2467
1962,5,65.5,25.129,12.9677
1962,6,110.5,25.7333,13.8667
1962,7,329.5,25.0355,12.7419
1962,8,257.5,25.0871,13.1032
1962,9,232.5,24.71,13.6933
1962,10,181,24.1774,12.4355
1962,11,153.5,21.6167,8.85
1962,12,47.5,20.2258,8.871
1963,1,21,21.4194,8.7419
1963,2,18,21.6071,7.0714
1963,3,16.5,25.2581,11.3065
1963,4,23,27.0667,12.2667
1963,5,128.5,24.9677,12.871
1963,6,318,26.1667,14.4333
1963,8,274.5,25.2258,13
1963,9,237.5,23.8667,13.1167
1963,10,298.5,21.7419,12.2258
1963,11,84.5,21.8333,9.6
1964,1,29.5,19.4194,8.0968
1964,2,7,19.8966,8.5517
1964,3,44,24.5484,11.5806
1964,4,22.5,27.3667,12.9333
1964,5,175,26.3226,13.0645
1964,6,392,24.2667,12.9333
1964,7,215.5,24.3871,12.548400000000001
1964,8,205,27.5161,12.8387
1964,9,249,29.6,12.6333
1964,10,97,26.7419,13.6129
1964,11,76,27.2,14.4333
1964,12,55,25.7419,13.9355
1965,1,83,23.3548,11.0806
1965,2,50,24.7321,11.3214
1965,3,96,28.2581,14.1935
1965,4,84,30.2667,14.5667
1965,5,80.1,29.4839,12.7742
1965,6,452.5,25.5667,10.0667
1965,7,417,24.0839,8.871
1965,8,298.5,24,8.3871
1965,9,298,24.4,7.7667
1965,10,231,22.5806,6.871
1965,11,93,21.6667,6.8667
1966,1,39.07,17.871,3.6774
1966,6,309.01,24.2,7.6333
1966,7,325.09,24.6613,7.0645
1966,8,281.04,25.129,6.5161
1966,9,384.07,24.5667,5.7333
1966,10,93,22.5484,4.9355
1966,11,44,21.1667,5.8333
1966,12,16,20.0323,5
1967,1,18,19.2333,3.5667
1967,2,92,20.3929,4.1786
1967,3,33,23.2581,5.8065
1967,4,119,25.2333,7.6667
1967,5,83,26.129,7.5806
1967,6,288,25.05,6.3333
1967,7,128,24.3548,7.7097
1967,8,220,24,6.5806
1967,9,298,23.4,5.8
