Anio,Mes,PRECIP_acum,TMAX_prom,TMIN_prom
1965,10,180.5,NA,NA
1965,11,94,NA,NA
1965,12,102.5,13.2875,3.8292
1966,1,59.7,11.3379,2.1862
1966,2,71.2,12.7179,3.425
1966,6,242,15.13,5.2433
1966,7,340.5,14.9806,6.1097
1966,8,223,14.8161,5.5065
1966,9,361.62,14.16,5.4767
1966,10,77,13.4742,5.0161
1966,11,14.5,12.47,2.13
1966,12,13,11.9161,1.6774
1967,1,65.5,11.6581,1.6484
1967,2,13,14.2643,2.3643
1967,3,19,14.6323,2.7871
1967,4,22.5,16.89,4.0967
1967,5,55.5,17.8258,5.9774
1967,6,196.1,15.8833,5.0533
1967,7,232.8,13.729,4.8774
1967,8,339,14.4903,5.1323
1967,9,277.7,14.06,5.55
1967,10,127.5,13.2194,4.0484
1967,11,56.5,13.4333,3.04
1967,12,30,13.4935,3.329
1968,1,36.5,11.6355,1.7419
1968,2,38.5,11.9276,1.9655
1968,3,39.5,14.0355,2.6774
1968,4,179,16.7167,5.15
1968,5,125.5,16.3226,6.2097
1968,6,255.5,15.3567,5.83
1968,7,239,13.171,4.8774
1968,8,379,13.2903,4.7903
1968,9,210,12.21,5.6333
1968,10,59.5,12.1613,4.8548
1968,11,34,11.5517,3.531
1968,12,71,10.0645,3.1774
1969,1,47.78,9.8387,2.4194
1969,2,38.66,13.7679,3.9821
1969,3,75.71,14.8226,5.8871
1969,4,39.5,16.8833,5.9333
1969,5,43,16.9194,5.9839
1969,6,201.5,17.7167,6.65
1969,7,464,14.548400000000001,6.0323
1969,9,389,14.15,5.8
1969,10,65.71,15.4677,4.9677
1969,11,22,13.8667,3.6
1969,12,3.29,14.4194,3.129
1970,1,23.74,13.5968,1.9677
1970,2,155.12,13.4107,2.2321
1970,3,0.12,16.5484,5.7903
1970,4,7.78,19.6667,6.8667
1970,5,25,17.6935,5.8065
1970,6,292,15.2167,5.9
1970,7,407.5,14.5323,5.1613
1970,8,316,14.9677,5.8226
1970,9,586.5,14.7167,5.8333
