Anio,Mes,PRECIP_acum,TMAX_prom,TMIN_prom
1926,7,283.6,29.9806,18.3677
1926,8,463.3,29.3258,18.6452
1926,9,750.6,28.58,18.7533
1926,11,58.7,25.6633,12.6
1926,12,12.5,25.429,12.3355
1927,3,19.6,29.9355,9.3548
1927,4,67,32.3333,12.5667
1927,5,39,34.5484,14.0645
1927,6,476.5,31.8,14.9667
1927,7,483.5,30.7742,13.2903
1927,8,401,30.9839,13.5
1927,9,587.7,29.97,14.3333
1927,10,229.6,28.8226,12.9194
1927,11,96.7,27.45,10.46
1927,12,73.5,26.1452,9.8065
1928,1,57,24.4194,8.2581
1928,2,53,26.6897,9.5862
1928,3,17,30.7903,10.6774
1928,4,25,31.2333,11.0667
1928,5,62,31.8065,13.4194
1928,6,227,32.6333,14.4
1928,7,538,31.0645,13.9032
1928,8,217,32.0968,13.4839
1928,9,466,30.7667,14.3667
1928,10,305,29.1935,12.7419
1928,11,201.5,24.2333,13.5333
1928,12,50,21.9355,12.8387
1929,1,36.5,23.7097,11.6774
1929,2,9.5,25.9286,12.7143
1929,3,12.5,28.9677,14.2258
1929,4,0,31.2,15.5333
1929,5,210.5,30.096800000000002,17.2581
1929,6,612,27.8,17.4667
1929,7,580,27.0323,16.8387
1929,8,371.5,27.9032,17.0323
1929,9,575.5,27.2,17.8667
1929,10,101.5,27,15.2903
1929,11,130,23.7667,14.5667
1929,12,132.5,20.9032,11.9677
1930,1,37,21.6774,11.2581
1930,2,31,24.3929,11.4643
1930,3,17,25.7097,14.3226
1930,4,65.5,27.8333,13.8333
1930,5,243.5,30.7419,18.3871
1930,6,353,27.8333,17.6333
1930,7,382.5,26.6774,16.9032
1930,8,193.5,27.9677,16.4839
1930,9,230,28.7,17.5333
1930,10,329.5,26.2581,17.3548
1930,11,74,23.7667,14.3667
1930,12,502,20.7097,12.4516
1931,1,639,20.096800000000002,11.871
1931,2,63.9,23,12.9286
1931,3,48.5,24.096800000000002,12.2581
1931,4,66.3,25.4,14.0667
1931,5,234.4,27.3548,16.5806
1931,6,266.7,27.4,18.4
1931,7,745.9,27.096800000000002,18.7097
1931,8,569.3,26.7419,17.6452
1931,9,507.7,25.9333,17.9667
1931,10,229.1,26.0645,17.0323
1931,11,55,23.2333,14.1667
1931,12,39.5,23.7419,14.2903
1932,1,47.9,24.5484,13.2581
1932,2,15.7,25.0345,13.9655
1932,3,51,24.7419,13.871
1932,4,30.2,28.2,14.6667
1932,5,41,28.6129,17.6774
1932,6,231.6,29.6333,16.8333
1932,7,317.5,26.8065,17.3548
1932,8,406.9,27.6774,17.4839
1932,9,520.2,27.3,17.8
1932,10,188.9,25.2258,16.4839
1932,11,73.8,22.3,12.0333
1932,12,46,23.5484,12.0323
1933,1,26.5,25.6129,10.0968
1933,2,32.2,25.75,12.9643
1933,3,41.2,26.1613,13.1935
1933,4,6.2,30.7667,16.1333
1933,5,104,32.3548,18.5161
1933,6,315.4,27.2667,16.4667
1933,7,338,27.9677,17.4516
1933,8,668.3,26.871,17.6774
1933,9,249.4,27.4333,17.8667
1933,10,225.5,25.871,16.2258
1933,11,109.5,24.8,13.5667
1933,12,37.3,24.3548,11
1934,1,54.9,23.2258,13.2258
1934,2,45.4,22.8214,12.7143
1934,3,36.7,24.3871,11.3548
1934,4,95.2,28.4,15.0667
1934,5,250.6,26.6452,16.5806
1934,6,227,27.8667,17.0667
1934,7,355.6,27,16.3226
1934,8,439.6,27.2581,16.4839
1934,9,514.4,26.2333,17.3
1934,10,175.6,25.9355,15.6774
1934,11,82,25.3,14.2667
1934,12,64.3,22.9677,12
1935,1,30.6,23.4839,10.8065
1935,2,21.8,22.1786,10.9643
1935,3,28.9,27.5484,13.6774
1935,4,55,29.8333,16
1935,5,151.4,29.1935,17.5806
1935,6,398.3,27.4333,18.0333
1935,7,420.3,27.0645,16.7419
1935,8,508.8,27.0645,16.6774
1935,9,325,27.6667,17.2
1935,10,153.8,26.1935,15.129
1935,11,84.4,25.6897,13.6897
1935,12,58.1,23.2903,13.3226
1936,1,40.4,23.7419,11.9677
1936,2,11.1,25.2069,13.1379
1936,3,35.4,26.3226,14.548400000000001
1936,4,136.2,26.6,15.7
1936,5,171.6,26.1613,15.9032
1936,6,327.3,28.1333,17.6
1936,7,647.8,26.0645,17.6774
1936,8,619.7,26.6452,16.871
1936,9,547.3,27.2333,17.4667
1936,10,181.6,25.6129,16.8065
1936,11,96.6,21.9,13.9333
1936,12,26.6,23,11.9355
1938,1,54.9,22.6452,11.8387
1938,2,45.1,23.2143,13
1938,3,32.8,28.2258,14.3548
1938,4,90.3,27.0333,15
1938,5,139.8,28.6129,17.1935
1938,6,479.6,26.5,17.2333
1938,7,350.4,26.871,16.096800000000002
1938,8,616.8,26.8387,16
1938,9,647.5,25.6333,17.0667
1938,10,280.7,24.7419,15.5806
1938,11,191.4,22.1333,13.1
1938,12,17.6,20.6774,10.548400000000001
1939,1,66.2,23.096800000000002,12.9677
1939,2,6.1,26.25,12.6071
1939,3,51.8,26.0323,13.6452
1939,4,64.5,28.2,14.9667
1939,5,104.9,28.6452,16.5161
1939,6,363.2,27.2,17.1667
1939,7,328.2,27.3226,16.096800000000002
1939,8,399.7,27.4516,16.4194
1939,9,568.7,26.4667,16.8
1939,10,212.8,25.8387,16.7419
1939,11,81.3,20.8,12.8667
1939,12,82.2,22.4194,12.4194
1940,1,64,20.7419,11.2581
1940,2,10.2,23.7793,10.5483
1940,3,20.2,25.871,13.0645
1940,4,8.7,29.3,14.9333
1940,5,113.1,28.129,17.129
1940,6,245.2,28.1,17.3667
1940,7,395.3,27.3226,16.8387
1940,8,249.2,28.7419,16.2097
1940,9,206.5,26.6667,16.1
1940,10,215.7,25.5806,15.1613
1940,11,170.8,23.7586,14.6207
1940,12,50,23.8065,12.4839
1941,1,61.2,23.4516,11.7742
1941,2,58.6,22.1786,13.3214
1941,3,37,23.7419,13.3548
1941,4,42.7,27.9,16.8667
