Anio,Mes,PRECIP_acum,TMAX_prom,TMIN_prom
1955,3,8,22.375,9.9375
1955,4,3,25,5.6
1955,5,20.1,23.2258,5.2581
1955,6,104,20.6333,7.4333
1955,7,369,16.0323,8.5484000000000009
1955,8,75,18.4194,7.5484
1955,9,319.5,17.3333,9
1955,10,128.1,15.5968,6.8871
1955,11,17.5,17.55,3.4667
1955,12,20.5,15.7419,0.629
1956,1,10,14.5323,-0.0161
1956,2,23,20.4138,1.6724
1956,3,2,22.3387,1.6774
1956,4,22.5,23.9833,4.8
1956,5,79.5,18.5645,7.3871
1956,6,151.5,17.65,7.9833
1956,7,103,17.5484,7.3548
1956,8,35,19.129,7.2742000000000004
1956,9,111.5,17.9667,8.0167
1956,10,12.5,18.9677,4.4677
1956,11,34.5,17.95,3.15
1956,12,10.5,16.7903,3.0323
1957,1,2,17.7742,0.7581
1957,2,28.5,18.8214,2.6786
1957,3,2,22.1452,3.371
1957,4,56.5,22.85,5.3
1957,5,105.5,22.4355,7.129
1957,6,79,21.5,8.2
1957,7,116,17.9194,8.0484000000000009
1957,8,73.5,18.596800000000002,7.1774
1957,9,65,18.75,8.15
1957,10,22.5,19.4032,4.1935
1957,11,11.5,21.1333,3.8333
1957,12,1.5,17.8226,0.9677
1958,1,97.5,16.2903,1.6774
1958,2,30,19.3036,1.8036
1958,3,0,24.6452,3.5806
1958,4,18,25.2167,5.35
1958,5,91,20.8387,6.5323
1958,6,156,20.1667,9.1333
1958,7,164.5,17.6452,8.6129
1958,8,93,20.1129,7.2581
1958,9,207,19.1833,8.9833
1958,10,126,19.5806,7.9032
1958,11,57.5,19.5333,6
1958,12,12,17.8548,3.5645
1959,1,29,17.0323,2.5323
1959,2,3.5,19.2143,2.7679
1959,3,3,22.629,3.7097
1959,4,98.5,20.4833,5.5333
1959,5,97,20.1935,6
1959,6,328.5,19.9,9.25
1959,7,111,18.1613,7.8871
1959,8,62.7,19.2097,7.1774
1959,9,117,19.25,7.2
1959,10,215,18.5323,8.2419
1959,11,9,16.7,3.9833
1959,12,0,17.2258,0.5161
1960,1,1,18.3387,1.8387
1960,2,0,21.1552,0.5
1960,3,6.5,21.3226,1.8065
1960,4,45.5,22.3,3.7667
1960,5,29.5,22.5806,6.7903
1960,6,116,20.3,7.3333
1960,7,183.5,18.0484,8.2742
1960,8,188,18.5484,8.5484000000000009
1960,9,239.5,17.5333,7.9833
1960,10,49.5,19.3387,7.0323
1960,11,9,16.7,4.2167
1960,12,5.5,16.5484,1.3548
1961,1,4.5,17.7258,2.2419
1961,2,2.5,20.7321,0.8214
1961,3,17,22.3387,4.0645
1961,4,0,24.2667,5.95
1961,5,49.5,22.9194,6.2258
1961,6,145,19.15,8.55
1961,7,177,17.1129,8.129
1961,8,49,17.9677,7.2097
1961,9,127.5,18.4833,7.7167
1961,10,11,18.629,5.3387
1961,11,91.5,17.2833,4.35
1961,12,10,17.9194,2.0806
1962,1,0,18.0645,0.6452
1962,2,0,22.25,1.0893
1962,3,0,23.7742,4.3548
1962,4,35,21.0333,4.8833
1962,5,31,21.5323,5.129
1962,6,87,20.15,6.4
1962,7,64.5,17.9839,7.6452
1962,8,40,19.5806,7.5323
1962,9,99,18.7833,8.6
1962,10,30.5,18.0323,6.7258
1962,11,49.5,17.8167,2.9
1962,12,17,17.2581,3.0645
1963,1,0,20.0323,0.7903
1963,2,1,20.1786,-0.1786
1963,3,3,21.8065,4.1774
1963,4,20.5,23.6833,4.65
1963,5,55,21.2581,6.6935
1963,6,105.7,20.7333,8.5
1963,7,139.7,17.7581,8.2419
1963,8,68.9,18.8548,8.129
1963,9,156.2,18.0333,8.8167
1963,10,35.4,17.8548,6.4516
1963,11,25.4,18.7167,3.1333
1963,12,11.2,17.7581,1.7742
1964,1,12.4,18.3226,3.9194
1964,2,0,22.1034,3
1964,3,1,23.0645,5.7581
1964,4,35.7,24.05,6.05
1964,5,74.8,21.7419,7.0645
1964,6,152.4,18.7,8.3833
1964,7,97.2,17.6129,8.0806
1964,8,54.4,19.2581,6.8226
1964,9,76.4,18.65,8.1833
1964,10,15.3,17.0323,5.3226
1964,11,54.2,17.6667,4.7
1964,12,33.5,15.5,2.9194
1965,1,26.6,15.7258,1.2258
1965,2,46.2,19.375,2.0714
1965,3,3,23.0484,2.2419
1965,4,46.8,21.65,4.5433
1965,5,27.2,22.3226,6.4032
1965,6,101.3,20.0333,8.1833
1965,7,63.3,17.6613,7.5161
1965,8,64.8,17.6452,7.6774
1965,9,50.6,19.85,7.25
1965,10,70.7,16.129,7.1129
1965,11,9.5,18.55,2.8
1965,12,18.8,17.4839,4.0903
1966,1,0.2,16.2742,1.5968
1966,2,12.8,18.4107,3.9321
1966,3,27.8,19.5161,3.7419
1966,4,95.9,21.8667,6.7833
1966,5,72.6,21.9516,6.6613
1966,6,108.3,18.4167,8.7333
1966,7,126.3,18.9167,8.7333
1966,8,113.4,18.2581,6.5968
1966,9,123.6,18.3333,8.2
1966,10,93.5,17.4516,7.1452
1966,11,12.9,17.1833,1.85
1966,12,1.1,17.6774,1.2581
1967,1,3.4,17.371,0.8065
1967,2,4.8,19.1964,1.7679
1967,3,19.1,19.9194,3.4613
1967,4,89.4,20.5833,5.0333
1967,5,59.8,21.7258,6.0935
1967,6,134.3,19.5,8.6833
1967,7,42.5,17.2258,7.2581
1967,8,118.3,18.5484,7.8871
1967,9,158.9,17.9833,8.3167
1967,10,63.3,16.871,6.1452
1967,11,1.6,17.1667,2.85
1967,12,63.3,16.871,6.3065
1968,1,25.7,17,1.4516
1968,2,20.5,17.1379,0.9828
1968,3,10.2,21.629,2.8871000000000002
1968,4,74.9,22.1667,5.8833
1968,5,88.2,20.7097,7.0161
1968,6,248.1,18.9167,7.3833
1968,7,65.5,16.6129,6.8226
1968,8,86.1,17.2581,7.4194
1968,9,102.3,17.5833,8.0333
1968,10,45.5,17.096800000000002,6.129
1968,11,3,19.1667,3.7167
1968,12,18.5,17.4516,2.9839
1969,1,36.7,18.8966,1.7241
1969,2,2,20.125,2.125
1969,3,27.7,20.8548,5.4677
1969,4,33.8,23.3833,6.2167
1969,5,18.2,23.5323,6.0645
1969,6,97,21.9833,6.7667
1969,7,85.4,20.1452,8.3065
1969,8,290.3,19.4032,7.2419
1969,10,13.1,19.6774,5.5323
1969,11,5.5,17.85,3.4333
1969,12,1.8,17.8387,1.5484
1970,1,1.4,18.7097,1.2581
1970,2,7.1,19.6071,2.0893
1970,3,0,22.1613,3.7097
1970,4,0,24.7,4.7
1970,5,98.7,22.6452,5.1935
1970,6,144.8,21.6667,8.2667
1970,7,69.3,17.9516,8.0645
1970,8,182,18.7097,8.2742
1970,9,158.5,17.7667,8.6167
1970,10,56,19.4839,6.2258
1970,11,2.3,18.2667,1.0667
1970,12,0.4,17.7742,0.4194
1971,1,12.5,19.6774,0.7581
1971,2,1.4,19.7857,0.9286
1971,3,3.7,22.0161,2.129
1971,4,20.8,22.1333,3.2
1971,5,58.4,23,5.7258
1971,6,115.3,19.9167,8.1667
1971,7,45.7,17.9032,7.2742000000000004
1971,8,83,17.4516,7.3065
1971,9,103.9,18.1667,8.4
1971,10,48.8,19.0484,6
1971,11,20.3,19.1,3.8
1971,12,53.3,17.7742,3
1972,1,16.1,17.629,2.1774
1972,2,5.1,16.9483,1.6724
1972,3,20.5,20.129,4.2258
1972,4,35.9,21.9667,6.1333
1972,5,88.4,21.6129,6.9194
1972,6,188.7,19.3667,8.6667
1972,7,149.1,17.5,8.0161
1972,8,109.1,17.7097,7.4516
1972,9,88.1,18,8.1167
1972,10,28.1,18.629,6.6452
1972,11,23.8,18.9333,6.7167
1972,12,11.4,17.9032,2.9032
1973,1,0.3,18.1452,1.9677
1973,2,4.4,19.6429,4.1429
1973,3,0.1,23.6129,5.6613
1973,4,52.1,21.8333,7.4
1973,5,80.7,22.7742,7.9839
1973,6,250.4,19.05,8.6
1973,7,208,19.5484,9.5
1973,8,96.6,19,9.6935
1973,9,123.6,19.2333,9.5667
1973,10,50.9,18.2903,8.7258
1973,11,14.1,18.3667,5.5833
1973,12,21.2,17.129,3.2097
1974,1,24.8,18.3065,3.7903
1974,2,8.8,19.8929,3.5714
1974,3,39.5,21.0323,4.4355
1974,4,43,21.1333,6.6167
1974,5,77.1,22.0645,8.9516
1974,6,206.9,18.1833,9.7833
1974,7,89.8,18.596800000000002,8.1613
1974,8,25.8,21.7258,8.0806
1974,9,117.3,20.2333,8.8833
1974,10,33.7,17.4516,6.5484
1974,11,8.1,18.95,4.45
1974,12,0.8,19.629,2.7581
1975,1,0.6,16.3871,3
1975,2,0.9,21.1786,4.2857
1975,3,2.8,24.0806,5.9194
1975,4,21.1,25.6667,6.75
1975,5,161.1,25.0806,8.9032
1975,6,136.6,24.7,9.4
1975,7,120.8,22.3387,8.129
1975,8,82.7,21.7258,8.7097
1975,9,245.5,20.5833,7.5667
1975,10,65.7,19.4194,6.4194
1975,11,2.4,19.6,4.2167
1975,12,9.7,17.1129,2.5
1976,1,4.3,17.5161,2.2903
1976,2,2.9,19.1207,1.569
1976,3,5,25.1452,4.4194
1976,4,68.2,22.0333,6.45
1976,5,133.7,24.096800000000002,8.5323
1976,6,190,21.7667,8.9
1976,7,185.4,20.9355,8.5806
1976,8,62.8,22,8.6452
1976,9,95,22.3167,8.2833
1976,10,92.1,20.4677,7.4194
1976,11,10,17.5167,6
1976,12,3.8,18.3548,4.7742000000000004
1977,1,1.8,19.7258,3.1129
1977,2,1.7,20.7857,4.4286
1977,3,0.4,25.6774,4.8226
1977,4,46.4,20.6,5.85
1977,5,63.3,21.2742,6.0323
1977,6,102.8,19.65,8.3167
1977,7,47.7,17.4194,8.2581
1977,8,72.8,20.1613,8
1977,9,72.8,20.6833,7.75
1977,10,41.8,18.2258,6.2097
1977,11,44.3,18.4167,4.3833
1977,12,2.1,18.8387,4.8226
1978,1,1.6,18.4677,2.7581
1978,2,16.1,18.7321,3.4464
1978,3,39.5,21.1774,4.5484
1978,4,20.2,24.25,6.1167
1978,5,67.2,23.096800000000002,9.129
1978,6,142.8,19.45,9.2667
1978,7,155.4,18.9194,8.7258
1978,8,61.9,19.596800000000002,7.8871
1978,9,164.9,18.3333,8.8333
1978,10,21.6,17.8065,7.9194
1978,11,5.7,19.5,5.6333
1978,12,8.7,20.5161,3.8548
1979,1,1.2,19.7581,2.7097
1979,2,36.3,21.0357,3.2321
1979,3,2.5,21.629,5.8548
1979,4,111.4,23.0667,6.5167
1979,5,102.7,23.8065,7.129
1979,6,53.7,21.7333,8.8333
1979,7,176.6,21.129,8.871
1979,8,120.7,18.7581,8.4032
1979,9,362.2,18.55,9.0833
1979,10,21.6,20.5806,5.4355
1979,11,5.6,19.9833,5.4
1979,12,25.6,21.9194,4.2742000000000004
1980,1,23.6,18.1935,3.6935
1980,2,1.9,20.0172,3.2241
1980,3,2.7,24.5806,4.371
1980,4,44.2,23.6,6.95
1980,5,57.9,25.8226,8.7258
1980,6,81.2,22.15,8.5333
1980,7,101.1,24.4677,7.8387
1980,8,157.3,22.3871,8.9839
1980,9,197.5,19.4333,9.5667
1980,10,42.4,19.7097,6.2258
1980,11,7.6,19.4167,4.8167
1980,12,9,18.5161,2.0645
1981,1,12.4,17.6613,0.6613
1981,2,10.7,21.2143,2.9286
1981,3,36.1,21.8065,5.4032
1981,4,14.6,24.5667,7.8167
1981,5,111.2,24.7903,8.0161
1981,6,267.3,22.2333,10.8833
1981,7,220.1,20.7097,9.0484000000000009
1981,8,107.9,21.8226,8.5323
1981,9,57.6,20.6167,8.05
1981,10,28.9,19.7419,7.2903
1981,11,15.6,21.0167,3
1981,12,8,18.9194,2.4194
1982,1,1.1,22.1129,1.8871
1982,2,19.4,20.7857,3.5179
1982,3,7.5,23.2258,2.8065
1982,4,57.6,25.1667,5.0167
1982,5,133.8,26.7903,7.0161
1982,6,33.3,25.2333,7.1667
1982,7,29.7,24.1452,6.5968
1982,8,19.6,25.371,5.5645
1982,9,23.6,20.9,8.8667
1982,10,93.5,19.8548,6.1935
1982,11,15.8,21.1167,2.9667
1982,12,10.3,19.8871,1.3548
1983,1,18.4,18.129,2.4032
1983,2,68,19.3571,1.8214
1983,3,34,21.7581,2.8387
1983,4,0,25.4667,5.7333
1983,5,8.4,28.7097,8.3548
1983,6,116.6,24.5833,7.8333
1983,7,111.9,20.8387,8.8548
1983,8,61.2,20.3548,7.4677
1983,9,73.5,19.9667,8.7333
1983,10,23.9,21.871,5.9516
1983,11,29,21.0333,4.85
1983,12,11.2,19.9355,3.629
1984,1,5.8,18.6935,3.0323
1984,2,8.1,20.6207,3.1552
1984,3,9.2,24.096800000000002,5.4032
1984,4,7.9,29.3667,8.4833
1984,5,113.2,25.7419,7.9355
1984,6,178.8,23.7333,8.0667
1984,7,87.1,23.5161,7.7581
1984,8,66.4,24.2419,7.1129
1984,9,208.5,19.1333,7.9167
1984,11,22.2,21.4,1.8667
1984,12,27.2,19.2903,2.2742
1989,9,116.5,19.3667,7.35
1989,10,26.2,20.6452,3.8226
1989,11,20.6,21.35,4.2667
1989,12,18.5,20.1452,3.3226
1990,1,13,19.129,2.0161
1990,2,20.9,23.3214,4.1786
1990,3,23.5,22,3.9032
1990,4,87.1,23.5,5.65
1990,5,34.1,23.2097,7.0323
1990,6,65.2,20.6833,7.4167
1990,7,59.5,20.629,7.4355
