Anio,Mes,PRECIP_acum,TMAX_prom,TMIN_prom
1979,9,96.02,NA,NA
1979,10,18,NA,NA
1979,11,0,NA,NA
1979,12,6,NA,NA
1980,1,9.51,NA,NA
1980,2,2,NA,NA
1981,1,6.5,16.8929,3.0714
1981,2,24,18.8571,3.1429
1981,3,40,20.6935,5
1981,4,20,20.4,5.9
1981,5,49,20.7097,6.9839
1981,6,154.02,20.0833,8.0167
1981,7,63.53,19.596800000000002,7.6774
1981,8,90.51,19.7581,7.1452
1981,10,84,19.4516,7.1935
1981,11,4,18.85,4.9333
1981,12,7,19.1452,2.629
1982,1,0,19.7903,2.5161
1982,2,25.5,21.0536,2.5179
1982,3,10,23.6613,2.871
1982,4,65,22.7167,7.0167
1982,5,68,25.2581,8.3548
1982,6,44,24.0833,6.1833
1982,7,43.5,20.9355,6.3548
1982,8,68.5,21.1935,5.7258
1982,9,5,21.4333,6.0333
1982,10,73,19.4677,5.7903
1982,11,0,19.2667,1.6
1982,12,0,18.8871,1.371
1983,3,19,19.4355,4
1983,4,0,22.0667,8.0167
1983,5,24.5,29.6452,8.7419
1983,8,95.7,21.5161,7.2742000000000004
1983,9,131,22.0667,7.1833
1983,10,32,20.5161,6.1774
1983,11,39,21.8667,6.4167
1983,12,13.5,19.5,4.3065
1984,1,31.5,21.2581,4.7903
1984,2,11.5,20.7241,6.2241
1984,3,47.5,21.1774,6.4839
1984,4,16,21.5833,6.5667
1984,5,244.2,21.096800000000002,6.1774
1984,6,126,21.7,6.4167
1984,7,133,21.4032,8.1387
1984,8,88.5,21.4032,5.4516
1984,9,158.6,20.4667,6.7333
1984,10,17,21.2903,5.0968
1984,11,14.5,19.2167,1.5333
1984,12,39.4,17.6129,2.7097
1985,1,3,17.3387,2.4839
1985,2,15,20.6071,5.25
1985,3,38.6,21.1774,5.5323
1985,4,107.4,21.85,6.5
1985,5,113,21.8065,6.2581
1985,7,41.5,21.3871,7.6452
1985,8,89.7,21.6129,6.7419
1985,9,168,21.1833,7.25
1985,10,1.5,21.1613,5.7581
1985,11,0,19.75,6.9833
1985,12,3.5,18.371,2.129
1988,1,0,20.3387,3.3387
1988,2,0,16.5172,6
1988,3,7,23.629,2.7903
1988,4,51,22.7167,7.0167
1988,5,89,25.2258,7.9677
1988,6,52,24.0833,9.0667
1988,7,44.3,20.9677,6.3226
