Anio,Mes,PRECIP_acum,TMAX_prom,TMIN_prom
1958,1,72.81,NA,NA
1958,2,0.7,NA,NA
1958,3,0,NA,NA
1958,4,0.03,NA,NA
1958,5,2.93,NA,NA
1958,6,10.9,NA,NA
1958,7,52.1,NA,NA
1958,8,43.1,NA,NA
1958,9,73.8,NA,NA
1958,10,24.9,NA,NA
1958,11,19.8,NA,NA
1958,12,11.51,NA,NA
1959,1,11,NA,NA
1959,4,23.1,NA,NA
1959,5,12,NA,NA
1959,6,292.3,NA,NA
1976,12,2.5,20.8387,3.3065
1977,1,2.26,22.0645,2.129
1977,2,19.35,21.0179,4.1607
1977,3,0.03,26.0645,6.1129
1977,4,22.5,23.1667,5.9833
1977,5,51.5,25.0645,8.7097
1977,6,73,21.4167,9.2833
1977,7,4.8,21.2581,8.3065
1977,8,40.1,22.8065,8.0968
1977,9,41,22.8667,9
1977,10,26,22.5,7.6613
1977,11,29,21.25,5.3333
1977,12,3,21.6613,4.6935
1978,1,8.5,21.7903,2.8065
1978,2,5,21.6071,4.8929
1978,3,43,23.2903,5.7258
1978,4,29,25.8833,6.95
1978,5,31.5,25.129,8.1613
1978,6,95,21.9667,9.3
1978,7,26,21.2258,9.1613
1978,8,26,23.629,8.871
1978,9,71,22.4333,8.55
1978,10,38,21.1129,6.4839
1978,11,2,22.4833,5.6167
1978,12,54,21.9032,3.2742
1979,1,0,20.5,2.1129
1979,2,13.7,21.7143,4.0893
1979,3,5.5,24.7742,5.6452
1979,4,32.9,25.5333,8.3833
1979,5,33.4,25.596800000000002,9.1613
1979,6,35.5,22.5167,8.3333
1979,7,104.3,22.0161,9
1979,8,42.4,20.7903,8.5161
1979,9,168.4,19.3667,7.9333
1979,10,2,23.1613,4.7258
1979,11,0,20.4667,4.5833
1979,12,8.5,19.3226,3.7742
1980,1,19.4,19.7258,3.2581
1980,2,1.2,22.1552,3.1897
1980,3,0.5,25.8871,6.2742000000000004
1980,4,34.1,24.9,7.4767
1980,5,60,26.5806,9.4194
1980,6,40,22.65,8.7667
1980,7,103.5,23.9839,8.1452
1980,8,19.9,22.0323,9.0323
1980,9,101.8,20.8667,9.2
1980,10,7,23.9839,5.7742000000000004
1980,11,9.5,21.15,3.6167
1980,12,0,20.5484,1.6935
1981,1,7,20.1613,0.0806
1981,2,4.5,21.1429,2.5
1981,3,12.5,24.0806,6.2742000000000004
1981,4,35.5,24.3333,6.7
1981,5,44,25.9677,9.5323
1981,6,187,22.1333,10.75
1981,7,53.5,21.9677,9.629
1981,8,78.5,21.2097,9.3065
1981,9,64.2,22.5167,7.55
1981,10,39.5,21.8387,6.129
1981,11,2,21.6833,1.1167
1981,12,2,20.9355,2.6935
1982,1,0,22.9839,1.6129
1982,2,30,22.875,3.7679
1982,3,14.8,24.7258,4.8871
1982,4,32,27.2333,7.75
1982,5,72.6,24.4677,9.6129
1982,6,17.5,24.6333,9.5
1982,7,25.5,22.4194,7.7742000000000004
1982,8,18.5,23.596800000000002,6.6774
1982,9,8.5,23.0333,7.1833
1982,10,40.5,22.0806,6.0484
1982,11,0,23.2,2.4167
1982,12,0.5,20.0194,4.3548
1983,1,24.9,19.5,2.6613
1983,2,43.4,20.6429,2.2679
1983,3,22.1,23.5,4.7742000000000004
1983,4,1.7,27.1833,7.8833
