Anio,Mes,PRECIP_acum,TMAX_prom,TMIN_prom
1945,8,90.45,23.6167,10.85
1945,9,56.01,23.3172,10.2828
1945,10,21,22.4,7.0167
1945,11,4.5,21.6552,3.5345
1945,12,20.5,21.895,3.8667
1946,1,18,20.4839,3.871
1946,2,38.1,22.037,4.2222
1946,3,33.5,25.8833,4.8
1946,4,520,25.5345,6.5172
1946,5,470.6,26.2333,9.65
1946,6,74,22.1552,10.3793
1946,7,20,24.25,8.4833
1946,8,16,24.129,8.871
1946,9,22,24.1333,9.5
1946,10,41,22.5484,8.6065
1946,11,0,22.1241,7.7793
1946,12,0,22.0833,6.5333
1947,1,0,24.7097,2.5323
1947,2,0,19.7037,2.7222
1947,3,0,21.9355,4.2742000000000004
1947,4,0,25.8448,9.2414
1947,5,52,24.7581,9.8548
1947,6,77,23.1207,11.1724
1947,7,0,24.8871,7.8226
1947,8,0,22.3226,9.1452
1947,9,0,22.4138,8.6897
1947,10,0,22.2903,6.8065
1947,11,0,22.1034,7.1724
1947,12,0,20.596800000000002,3.4355
1948,2,0,22,2.6607
1948,3,0,21.15,6.25
1948,4,8.5,23.431,6.6207
1948,6,0,23.6207,9.6379
1948,7,43,21.7097,10.6194
1948,8,10.04,23.1452,9.8548
1948,9,30,23.3793,10
1948,10,20,23.0774,9.2581
1948,12,0,21.5161,6.4194
1949,1,1,20.8065,2.7419
1949,2,0,21.6852,3.4444
1949,3,0,23.3226,8.5645
1949,4,0,24.8276,8.8103
1949,5,0,24.9333,9.61
1949,6,0,24.6897,10.3448
1949,7,30,23.7419,9.4194
1949,8,0,23.6452,8.8387
1949,9,6,21.7931,10.069
1949,10,15,24.1935,8.7742
1949,11,0,21.6552,1.7069
1949,12,0,23.2581,2.1613
1950,1,0,22.8387,1.7258
1950,2,0,24.0741,2.3519
1950,3,0,23.4032,4.4516
1950,4,10,22.8621,5.8103
1950,5,0,25.5,8.7419
1950,6,0,23.3966,8.5517
1950,7,0,24.7167,7.2167
1950,8,0,19.2167,9.5
1950,9,0,24.1897,8.1897
1950,10,15,22.7667,8.82
1950,11,0,21.6034,3.3793
1950,12,0,23.05,0.9833
1951,1,0,21.629,1.371
1951,2,0,23.463,2.4259
1951,3,0,23.5667,2.7
1951,4,0,22.8966,2.6552
1951,5,62,22.8065,2.9839
