Anio,Mes,PRECIP_acum,TMAX_prom,TMIN_prom
1975,7,116.2,16.4839,9.4516
1975,8,64.2,16.4194,9.6452
1975,9,331.7,15.3,9.7667
1975,10,69.8,15.2581,9
1975,11,3.7,14.5667,6.9
1975,12,17.7,13.6774,5.8065
1976,1,20.9,13.1613,4.9032
1976,2,19.2,13.8966,4.6552
1976,3,8.5,20.4194,8.5161
1976,4,60.8,20,8.7667
1976,5,83.1,20.0323,9.6774
1976,6,242.7,18.1,10.0333
1976,7,184.9,16,9.7742
1976,8,45.5,15.5161,9.2903
1976,9,84.9,16.2,9.6667
1976,10,120,15.0032,9.0968
1976,11,42.5,13.3667,7.1
1976,12,10.7,15.0323,6.4516
1977,1,5.4,15.2258,5.871
1977,2,13.1,15,6.5714
1977,3,6.1,20.8065,8.871
1977,4,33.8,17.6,7.4667
1977,5,29.9,20.2258,9.9032
1977,6,110.7,17.5333,9.4667
1977,7,74,15.871,9.1935
1977,8,151.6,17.5161,9.871
1977,9,43.4,17.5,10
1977,10,NA,16.1429,9.5714
1977,11,20.2,16.1733,8.1
1977,12,11.9,16.2258,7.6774
1978,1,NA,14.5833,6.3333
1978,3,31.2,17.871,7.7097
1978,4,15.6,20.9333,10.5333
1978,5,66.8,21.6129,11.7419
1978,6,165.1,16.5333,9.9333
1978,7,130,15.4839,9.3226
1978,8,100.6,15.6774,10.3226
1978,9,181.3,15.6667,10.4
1978,10,43.2,14.0968,8.8387
1978,11,30.9,14.97,8.9
1978,12,48.6,15.2581,7.4839
1979,1,9.6,16.7742,6.0968
1979,2,33.5,14.8964,6.9286
1979,3,10.3,19.3871,8.3871
1979,4,70,22.5333,10.8
1979,5,52.1,19.9677,11.7419
1979,6,81.7,16.8333,10.7333
1979,7,174.8,17.5484,10.4839
1979,8,136.2,15.6774,9.9677
1979,9,264.6,15.0667,9.5
1979,10,22.8,16.871,8.7742
1979,11,28.1,13.4,8
1979,12,22.4,13.7419,6.9355
1980,1,22.3,16.871,7.3871
1980,2,9.7,16.069,7.0345
1980,3,1.7,20.7419,8.8871
1980,4,24,18.6,9.8667
1980,5,38.4,21.963,12.7037
1980,6,118.6,17.2,10.7667
1980,7,129.9,16.1645,10.5161
1980,8,163,16.2581,10.7742
1980,9,98.9,15.4667,10.5
1980,10,30.1,15.129,8.9032
1980,11,38.1,10.3367,6.9
1980,12,15.3,9.7484,6.3548
1981,1,18.9,12.0968,5.2581
1981,2,2,15.4286,6.7143
1981,3,42,19.4194,8.2903
1981,4,0,18.6667,9.1
1981,5,55.5,21.129,11
1981,6,212.8,16.6167,11.2333
1981,7,116.7,16.2903,10.2097
1981,9,43,15.7833,10.0833
1981,10,42,16.2581,8.4516
1981,11,0,13.6,6.65
1981,12,10,16.6935,8.4677
1982,1,0,17.6129,8.2903
1982,2,36.5,15.5714,7.625
1982,3,36.6,18.5161,8.2742
1982,4,46.8,22.7333,9.8833
1982,5,60.7,19.596800000000002,10.9355
1982,6,42.4,20.3333,10.9833
1982,7,52.2,16.3065,9.7419
1982,8,12.5,17.5645,9.0161
1982,9,45.6,16.5667,9.5833
1982,10,83.2,14.9032,9.4032
1982,11,30,15.1833,7.6833
1982,12,13.9,15.6452,7.2581
1983,1,5.3,13.9355,6.8065
1983,2,35.1,19.0357,9.125
1983,3,27.2,20.1452,7.9355
1983,4,0,23.15,12.1167
1983,5,0,26.4032,14.4516
1983,6,114,24.1667,14.55
1983,7,285.4,16.1613,10.5161
1983,8,84.7,16.9355,10.2903
1983,9,65.1,16.6833,10.3167
1983,10,41.9,14.5806,9.0161
1983,11,65,16.25,9.1
1983,12,0,13.9839,6.9839
1984,1,46.82,14.0806,6.3871
1984,2,27.21,16.0172,6.6207
1984,3,8.3,20.871,8.5484000000000009
1984,4,0.6,24.6,10.8667
1984,5,64.5,20.096800000000002,9.9194
1984,6,210.5,17.3167,10.5667
1984,7,115.27,15.8226,9.9032
1984,8,74.2,15.8871,10.0645
1984,9,248.7,14.7167,10.2
1984,10,16.6,17.871,9.8387
1984,11,15.5,15.8333,6.75
1984,12,68.8,14.8548,6.5
