Anio,Mes,PRECIP_acum,TMAX_prom,TMIN_prom
2019,8,163,NA,NA
2019,9,272.9,NA,NA
2019,10,213,NA,NA
2019,11,56,NA,NA
2019,12,48,NA,NA
2020,1,61,NA,NA
2020,2,NA,NA,NA
2020,3,11,NA,NA
2020,4,37,NA,NA
2020,5,196,NA,NA
2020,6,346,NA,NA
2020,7,NA,NA,NA
2020,8,357,NA,NA
2020,9,338,NA,NA
2020,10,32,NA,NA
2020,12,51,NA,NA
2021,1,78,NA,NA
2021,2,NA,NA,NA
2021,3,35,NA,NA
2021,4,14,NA,NA
2021,5,240,NA,NA
2021,7,193,NA,NA
2021,8,281,NA,NA
2021,9,455,NA,NA
2021,10,202,NA,NA
2021,11,86,NA,NA
2021,12,73,NA,NA
2022,1,59,NA,NA
2022,2,38,NA,NA
2022,3,32,NA,NA
2022,4,NA,NA,NA
2023,5,92.2,NA,NA
2023,6,121.7,NA,NA
2023,7,278.4,NA,NA
2023,8,387.7,NA,NA
2023,9,261.75,NA,NA
2023,10,213.51,NA,NA
2023,11,99.5,NA,NA
2023,12,NA,NA,NA
2024,1,71.9,NA,NA
2024,2,24.6,NA,NA
2024,3,67.4,NA,NA
2024,4,16.9,NA,NA
2024,5,3.2,NA,NA
2024,6,596.8,NA,NA
2024,7,448.7,NA,NA
2024,8,273.7,NA,NA
2024,9,236.5,NA,NA
2024,10,219.4,NA,NA
2024,11,15.4,NA,NA
2024,12,33,NA,NA
2025,1,85.9,NA,NA
