#      date    lon    lat    value 
cdo(1) remapnn: Nearest neighbor weights from lonlat (9x9) to lonlat (1x1) grid
 1950-01-01 -97.1419 18.5964 12.22109 
 1950-02-01 -97.1419 18.5964 12.80337 
 1950-03-01 -97.1419 18.5964 15.62881 
 1950-04-01 -97.1419 18.5964  16.0043 
 1950-05-01 -97.1419 18.5964 17.82974 
 1950-06-01 -97.1419 18.5964 16.61123 
 1950-07-01 -97.1419 18.5964 15.94082 
 1950-08-01 -97.1419 18.5964 16.28677 
 1950-09-01 -97.1419 18.5964 16.99258 
 1950-10-01 -97.1419 18.5964 14.82266 
 1950-11-01 -97.1419 18.5964  12.2167 
 1950-12-01 -97.1419 18.5964 12.21011 
 1951-01-01 -97.1419 18.5964 13.15542 
 1951-02-01 -97.1419 18.5964 12.30679 
 1951-03-01 -97.1419 18.5964 15.59072 
 1951-04-01 -97.1419 18.5964 17.95059 
 1951-05-01 -97.1419 18.5964 17.89102 
 1951-06-01 -97.1419 18.5964 17.28921 
 1951-07-01 -97.1419 18.5964 16.86099 
 1951-08-01 -97.1419 18.5964 17.36636 
 1951-09-01 -97.1419 18.5964 16.65762 
 1951-10-01 -97.1419 18.5964 15.83315 
 1951-11-01 -97.1419 18.5964 14.15103 
 1951-12-01 -97.1419 18.5964 13.91055 
 1952-01-01 -97.1419 18.5964 13.06509 
 1952-02-01 -97.1419 18.5964 14.49233 
 1952-03-01 -97.1419 18.5964 18.00503 
 1952-04-01 -97.1419 18.5964 17.10195 
 1952-05-01 -97.1419 18.5964 17.19131 
 1952-06-01 -97.1419 18.5964 16.42397 
 1952-07-01 -97.1419 18.5964 15.76602 
 1952-08-01 -97.1419 18.5964 16.52065 
 1952-09-01 -97.1419 18.5964 16.06118 
 1952-10-01 -97.1419 18.5964 12.55703 
 1952-11-01 -97.1419 18.5964 13.77383 
 1952-12-01 -97.1419 18.5964 12.38003 
 1953-01-01 -97.1419 18.5964 11.78945 
 1953-02-01 -97.1419 18.5964 14.29897 
 1953-03-01 -97.1419 18.5964 16.07754 
 1953-04-01 -97.1419 18.5964 18.75479 
 1953-05-01 -97.1419 18.5964 19.00137 
 1953-06-01 -97.1419 18.5964 16.97964 
 1953-07-01 -97.1419 18.5964 16.17983 
 1953-08-01 -97.1419 18.5964 16.83877 
 1953-09-01 -97.1419 18.5964 16.01675 
 1953-10-01 -97.1419 18.5964 14.95962 
 1953-11-01 -97.1419 18.5964 12.96621 
 1953-12-01 -97.1419 18.5964 12.42983 
 1954-01-01 -97.1419 18.5964  12.3395 
 1954-02-01 -97.1419 18.5964 13.06899 
 1954-03-01 -97.1419 18.5964 15.97622 
 1954-04-01 -97.1419 18.5964 15.66152 
 1954-05-01 -97.1419 18.5964 16.90542 
 1954-06-01 -97.1419 18.5964 16.57827 
 1954-07-01 -97.1419 18.5964 15.21816 
 1954-08-01 -97.1419 18.5964 15.83047 
 1954-09-01 -97.1419 18.5964 15.69522 
 1954-10-01 -97.1419 18.5964 13.95352 
 1954-11-01 -97.1419 18.5964 12.80923 
 1954-12-01 -97.1419 18.5964 10.82681 
 1955-01-01 -97.1419 18.5964 11.97793 
 1955-02-01 -97.1419 18.5964 12.43252 
 1955-03-01 -97.1419 18.5964 15.09097 
 1955-04-01 -97.1419 18.5964 18.46572 
 1955-05-01 -97.1419 18.5964  17.9501 
 1955-06-01 -97.1419 18.5964 16.95962 
 1955-07-01 -97.1419 18.5964 15.17886 
 1955-08-01 -97.1419 18.5964 15.99795 
 1955-09-01 -97.1419 18.5964 16.07681 
 1955-10-01 -97.1419 18.5964  14.0939 
 1955-11-01 -97.1419 18.5964 13.96377 
 1955-12-01 -97.1419 18.5964 11.80654 
 1956-01-01 -97.1419 18.5964 10.63052 
 1956-02-01 -97.1419 18.5964 14.69717 
 1956-03-01 -97.1419 18.5964 15.50967 
 1956-04-01 -97.1419 18.5964 17.61856 
 1956-05-01 -97.1419 18.5964 15.84268 
 1956-06-01 -97.1419 18.5964 15.20669 
 1956-07-01 -97.1419 18.5964 15.44009 
 1956-08-01 -97.1419 18.5964 16.18301 
 1956-09-01 -97.1419 18.5964 14.97939 
 1956-10-01 -97.1419 18.5964 14.65737 
 1956-11-01 -97.1419 18.5964 12.62124 
 1956-12-01 -97.1419 18.5964 11.81875 
 1957-01-01 -97.1419 18.5964 12.06069 
 1957-02-01 -97.1419 18.5964 13.57314 
 1957-03-01 -97.1419 18.5964 16.28066 
 1957-04-01 -97.1419 18.5964 17.24673 
 1957-05-01 -97.1419 18.5964 18.48208 
 1957-06-01 -97.1419 18.5964 17.72524 
 1957-07-01 -97.1419 18.5964 16.26357 
 1957-08-01 -97.1419 18.5964 16.54165 
 1957-09-01 -97.1419 18.5964 16.32583 
 1957-10-01 -97.1419 18.5964 14.63369 
 1957-11-01 -97.1419 18.5964  15.2228 
 1957-12-01 -97.1419 18.5964  11.6625 
 1958-01-01 -97.1419 18.5964 11.25479 
 1958-02-01 -97.1419 18.5964 12.93032 
 1958-03-01 -97.1419 18.5964 17.27334 
 1958-04-01 -97.1419 18.5964  18.8981 
 1958-05-01 -97.1419 18.5964 16.80508 
 1958-06-01 -97.1419 18.5964 17.18447 
 1958-07-01 -97.1419 18.5964 15.98403 
 1958-08-01 -97.1419 18.5964 16.92056 
 1958-09-01 -97.1419 18.5964 16.61807 
 1958-10-01 -97.1419 18.5964 15.48818 
 1958-11-01 -97.1419 18.5964 14.08193 
 1958-12-01 -97.1419 18.5964 12.16152 
 1959-01-01 -97.1419 18.5964 12.11685 
 1959-02-01 -97.1419 18.5964 14.83169 
 1959-03-01 -97.1419 18.5964 16.07705 
 1959-04-01 -97.1419 18.5964 16.39346 
 1959-05-01 -97.1419 18.5964 17.31655 
 1959-06-01 -97.1419 18.5964 16.67471 
 1959-07-01 -97.1419 18.5964 15.34463 
 1959-08-01 -97.1419 18.5964 15.93203 
 1959-09-01 -97.1419 18.5964 16.03189 
 1959-10-01 -97.1419 18.5964  15.7582 
 1959-11-01 -97.1419 18.5964 13.07534 
 1959-12-01 -97.1419 18.5964   12.652 
 1960-01-01 -97.1419 18.5964 13.10586 
 1960-02-01 -97.1419 18.5964 13.76626 
 1960-03-01 -97.1419 18.5964 15.30606 
 1960-04-01 -97.1419 18.5964 16.84829 
 1960-05-01 -97.1419 18.5964 18.19644 
 1960-06-01 -97.1419 18.5964 17.23794 
 1960-07-01 -97.1419 18.5964 16.05947 
 1960-08-01 -97.1419 18.5964 16.30386 
 1960-09-01 -97.1419 18.5964 15.07119 
 1960-10-01 -97.1419 18.5964 15.98037 
 1960-11-01 -97.1419 18.5964 13.77847 
 1960-12-01 -97.1419 18.5964 11.62173 
 1961-01-01 -97.1419 18.5964 11.89883 
 1961-02-01 -97.1419 18.5964 13.58364 
 1961-03-01 -97.1419 18.5964  16.5502 
 1961-04-01 -97.1419 18.5964  17.5917 
 1961-05-01 -97.1419 18.5964  18.0668 
 1961-06-01 -97.1419 18.5964 16.60122 
 1961-07-01 -97.1419 18.5964 15.64077 
 1961-08-01 -97.1419 18.5964 15.87148 
 1961-09-01 -97.1419 18.5964 16.01431 
 1961-10-01 -97.1419 18.5964 14.74697 
 1961-11-01 -97.1419 18.5964 13.81924 
 1961-12-01 -97.1419 18.5964 12.87466 
 1962-01-01 -97.1419 18.5964 11.62368 
 1962-02-01 -97.1419 18.5964 15.51895 
 1962-03-01 -97.1419 18.5964 16.36001 
 1962-04-01 -97.1419 18.5964 15.86733 
 1962-05-01 -97.1419 18.5964 16.80239 
 1962-06-01 -97.1419 18.5964 17.46987 
 1962-07-01 -97.1419 18.5964 16.20352 
 1962-08-01 -97.1419 18.5964  16.9855 
 1962-09-01 -97.1419 18.5964  16.4877 
 1962-10-01 -97.1419 18.5964 15.60635 
 1962-11-01 -97.1419 18.5964 13.40029 
 1962-12-01 -97.1419 18.5964 12.77871 
 1963-01-01 -97.1419 18.5964  12.9772 
 1963-02-01 -97.1419 18.5964  12.6332 
 1963-03-01 -97.1419 18.5964  15.9313 
 1963-04-01 -97.1419 18.5964 17.79751 
 1963-05-01 -97.1419 18.5964 16.75576 
 1963-06-01 -97.1419 18.5964 17.21279 
 1963-07-01 -97.1419 18.5964 15.79897 
 1963-08-01 -97.1419 18.5964 16.37271 
 1963-09-01 -97.1419 18.5964 15.91421 
 1963-10-01 -97.1419 18.5964 14.22695 
 1963-11-01 -97.1419 18.5964 13.75552 
 1963-12-01 -97.1419 18.5964 11.58633 
 1964-01-01 -97.1419 18.5964 12.05532 
 1964-02-01 -97.1419 18.5964 14.83193 
 1964-03-01 -97.1419 18.5964 16.93447 
 1964-04-01 -97.1419 18.5964 18.29775 
 1964-05-01 -97.1419 18.5964 17.68765 
 1964-06-01 -97.1419 18.5964 16.31411 
 1964-07-01 -97.1419 18.5964 15.98159 
 1964-08-01 -97.1419 18.5964   16.652 
 1964-09-01 -97.1419 18.5964 16.48232 
 1964-10-01 -97.1419 18.5964 13.78921 
 1964-11-01 -97.1419 18.5964 14.01577 
 1964-12-01 -97.1419 18.5964 12.38857 
 1965-01-01 -97.1419 18.5964 11.43691 
 1965-02-01 -97.1419 18.5964  13.2792 
 1965-03-01 -97.1419 18.5964 15.60513 
 1965-04-01 -97.1419 18.5964 17.36343 
 1965-05-01 -97.1419 18.5964 17.70938 
 1965-06-01 -97.1419 18.5964 16.65737 
 1965-07-01 -97.1419 18.5964 15.29238 
 1965-08-01 -97.1419 18.5964 15.65664 
 1965-09-01 -97.1419 18.5964 16.42105 
 1965-10-01 -97.1419 18.5964 14.30337 
 1965-11-01 -97.1419 18.5964 13.98159 
 1965-12-01 -97.1419 18.5964 13.27163 
 1966-01-01 -97.1419 18.5964  11.8273 
 1966-02-01 -97.1419 18.5964 13.19766 
 1966-03-01 -97.1419 18.5964 13.55361 
 1966-04-01 -97.1419 18.5964  17.4208 
 1966-05-01 -97.1419 18.5964 17.48037 
 1966-06-01 -97.1419 18.5964  16.8085 
 1966-07-01 -97.1419 18.5964 16.82852 
 1966-08-01 -97.1419 18.5964 16.78652 
 1966-09-01 -97.1419 18.5964 16.39272 
 1966-10-01 -97.1419 18.5964 14.97647 
 1966-11-01 -97.1419 18.5964 11.95718 
 1966-12-01 -97.1419 18.5964 11.71279 
 1967-01-01 -97.1419 18.5964 11.89663 
 1967-02-01 -97.1419 18.5964 12.86563 
 1967-03-01 -97.1419 18.5964 14.45034 
 1967-04-01 -97.1419 18.5964 16.55117 
 1967-05-01 -97.1419 18.5964 17.55752 
 1967-06-01 -97.1419 18.5964 17.12466 
 1967-07-01 -97.1419 18.5964 16.06289 
 1967-08-01 -97.1419 18.5964 16.60757 
 1967-09-01 -97.1419 18.5964 16.34951 
 1967-10-01 -97.1419 18.5964 14.44375 
 1967-11-01 -97.1419 18.5964 13.52969 
 1967-12-01 -97.1419 18.5964 14.01113 
 1968-01-01 -97.1419 18.5964 12.07705 
 1968-02-01 -97.1419 18.5964 11.84243 
 1968-03-01 -97.1419 18.5964 13.49624 
 1968-04-01 -97.1419 18.5964 16.89443 
 1968-05-01 -97.1419 18.5964 17.24697 
 1968-06-01 -97.1419 18.5964 17.09634 
 1968-07-01 -97.1419 18.5964 16.21987 
 1968-08-01 -97.1419 18.5964 16.47207 
 1968-09-01 -97.1419 18.5964 16.64736 
 1968-10-01 -97.1419 18.5964 15.50796 
 1968-11-01 -97.1419 18.5964 14.54458 
 1968-12-01 -97.1419 18.5964 13.49478 
 1969-01-01 -97.1419 18.5964 13.41152 
 1969-02-01 -97.1419 18.5964 15.45181 
 1969-03-01 -97.1419 18.5964  15.8085 
 1969-04-01 -97.1419 18.5964 18.50698 
 1969-05-01 -97.1419 18.5964  18.7416 
 1969-06-01 -97.1419 18.5964 18.99868 
 1969-07-01 -97.1419 18.5964 17.26553 
