#      date    lon    lat    value 
cdo(1) remapnn: Nearest neighbor weights from lonlat (9x9) to lonlat (1x1) grid
 1950-01-01 -97.67 18.6867 12.98477 
 1950-02-01 -97.67 18.6867 13.94204 
 1950-03-01 -97.67 18.6867 15.87881 
 1950-04-01 -97.67 18.6867 16.67617 
 1950-05-01 -97.67 18.6867 17.98013 
 1950-06-01 -97.67 18.6867 17.30654 
 1950-07-01 -97.67 18.6867 16.84512 
 1950-08-01 -97.67 18.6867 17.87466 
 1950-09-01 -97.67 18.6867 17.84219 
 1950-10-01 -97.67 18.6867 15.55508 
 1950-11-01 -97.67 18.6867 13.66592 
 1950-12-01 -97.67 18.6867 13.08706 
 1951-01-01 -97.67 18.6867 14.04995 
 1951-02-01 -97.67 18.6867 13.87319 
 1951-03-01 -97.67 18.6867 16.31924 
 1951-04-01 -97.67 18.6867 18.56777 
 1951-05-01 -97.67 18.6867 17.78359 
 1951-06-01 -97.67 18.6867 17.87124 
 1951-07-01 -97.67 18.6867 17.42349 
 1951-08-01 -97.67 18.6867 18.31167 
 1951-09-01 -97.67 18.6867 17.82949 
 1951-10-01 -97.67 18.6867 17.46597 
 1951-11-01 -97.67 18.6867 15.87173 
 1951-12-01 -97.67 18.6867 14.69766 
 1952-01-01 -97.67 18.6867 14.50259 
 1952-02-01 -97.67 18.6867 15.34194 
 1952-03-01 -97.67 18.6867 18.19253 
 1952-04-01 -97.67 18.6867 18.35195 
 1952-05-01 -97.67 18.6867  18.0292 
 1952-06-01 -97.67 18.6867 17.26772 
 1952-07-01 -97.67 18.6867 17.33242 
 1952-08-01 -97.67 18.6867 18.10269 
 1952-09-01 -97.67 18.6867 16.73306 
 1952-10-01 -97.67 18.6867 14.10586 
 1952-11-01 -97.67 18.6867 14.74258 
 1952-12-01 -97.67 18.6867 13.34097 
 1953-01-01 -97.67 18.6867 13.02969 
 1953-02-01 -97.67 18.6867 15.39468 
 1953-03-01 -97.67 18.6867 16.82363 
 1953-04-01 -97.67 18.6867 19.07314 
 1953-05-01 -97.67 18.6867 19.85488 
 1953-06-01 -97.67 18.6867 17.84487 
 1953-07-01 -97.67 18.6867  17.3478 
 1953-08-01 -97.67 18.6867 18.43643 
 1953-09-01 -97.67 18.6867 16.61831 
 1953-10-01 -97.67 18.6867 16.41079 
 1953-11-01 -97.67 18.6867  14.3002 
 1953-12-01 -97.67 18.6867 13.66616 
 1954-01-01 -97.67 18.6867 13.53481 
 1954-02-01 -97.67 18.6867 14.52798 
 1954-03-01 -97.67 18.6867 16.93911 
 1954-04-01 -97.67 18.6867 16.70645 
 1954-05-01 -97.67 18.6867 17.44644 
 1954-06-01 -97.67 18.6867 17.70327 
 1954-07-01 -97.67 18.6867 16.55606 
 1954-08-01 -97.67 18.6867 17.28164 
 1954-09-01 -97.67 18.6867 16.58193 
 1954-10-01 -97.67 18.6867 14.89297 
 1954-11-01 -97.67 18.6867 13.96939 
 1954-12-01 -97.67 18.6867 12.26626 
 1955-01-01 -97.67 18.6867 12.92715 
 1955-02-01 -97.67 18.6867 13.42861 
 1955-03-01 -97.67 18.6867 16.30776 
 1955-04-01 -97.67 18.6867 19.08682 
 1955-05-01 -97.67 18.6867 18.31143 
 1955-06-01 -97.67 18.6867 17.70767 
 1955-07-01 -97.67 18.6867 16.15933 
 1955-08-01 -97.67 18.6867 16.51553 
 1955-09-01 -97.67 18.6867 16.23892 
 1955-10-01 -97.67 18.6867 14.62905 
 1955-11-01 -97.67 18.6867 14.20986 
 1955-12-01 -97.67 18.6867 12.40811 
 1956-01-01 -97.67 18.6867 11.26528 
 1956-02-01 -97.67 18.6867 14.86709 
 1956-03-01 -97.67 18.6867 16.65615 
