#      date    lon    lat    value 
cdo(1) remapnn: Nearest neighbor weights from lonlat (9x9) to lonlat (1x1) grid
 1950-01-01 -97.1083 19.3486 13.15859 
 1950-02-01 -97.1083 19.3486 13.20767 
 1950-03-01 -97.1083 19.3486 15.76553 
 1950-04-01 -97.1083 19.3486 16.46719 
 1950-05-01 -97.1083 19.3486 18.54263 
 1950-06-01 -97.1083 19.3486 17.75381 
 1950-07-01 -97.1083 19.3486 17.03457 
 1950-08-01 -97.1083 19.3486 17.25356 
 1950-09-01 -97.1083 19.3486 18.12148 
 1950-10-01 -97.1083 19.3486 16.18008 
 1950-11-01 -97.1083 19.3486 12.86514 
 1950-12-01 -97.1083 19.3486 12.49526 
 1951-01-01 -97.1083 19.3486 13.15542 
 1951-02-01 -97.1083 19.3486 12.29312 
 1951-03-01 -97.1083 19.3486 15.25088 
 1951-04-01 -97.1083 19.3486 17.04043 
 1951-05-01 -97.1083 19.3486 18.30117 
 1951-06-01 -97.1083 19.3486 18.37905 
 1951-07-01 -97.1083 19.3486 17.79653 
 1951-08-01 -97.1083 19.3486 18.33511 
 1951-09-01 -97.1083 19.3486 17.91543 
 1951-10-01 -97.1083 19.3486 16.44058 
 1951-11-01 -97.1083 19.3486 14.70376 
 1951-12-01 -97.1083 19.3486 14.37734 
 1952-01-01 -97.1083 19.3486 13.57485 
 1952-02-01 -97.1083 19.3486 13.61343 
 1952-03-01 -97.1083 19.3486 16.66323 
 1952-04-01 -97.1083 19.3486 16.14297 
 1952-05-01 -97.1083 19.3486 17.19717 
 1952-06-01 -97.1083 19.3486 17.45913 
 1952-07-01 -97.1083 19.3486 16.74648 
 1952-08-01 -97.1083 19.3486 17.44839 
 1952-09-01 -97.1083 19.3486 17.32681 
 1952-10-01 -97.1083 19.3486 13.79727 
 1952-11-01 -97.1083 19.3486 14.36367 
 1952-12-01 -97.1083 19.3486 12.80581 
 1953-01-01 -97.1083 19.3486 11.91055 
 1953-02-01 -97.1083 19.3486  14.0939 
 1953-03-01 -97.1083 19.3486 16.26895 
 1953-04-01 -97.1083 19.3486 18.18838 
 1953-05-01 -97.1083 19.3486 18.87246 
 1953-06-01 -97.1083 19.3486 18.02847 
 1953-07-01 -97.1083 19.3486 17.21694 
 1953-08-01 -97.1083 19.3486 17.99893 
 1953-09-01 -97.1083 19.3486 17.29214 
 1953-10-01 -97.1083 19.3486 15.85806 
 1953-11-01 -97.1083 19.3486 13.45645 
 1953-12-01 -97.1083 19.3486 12.55093 
 1954-01-01 -97.1083 19.3486 12.86099 
 1954-02-01 -97.1083 19.3486 13.46157 
 1954-03-01 -97.1083 19.3486 15.69106 
 1954-04-01 -97.1083 19.3486 16.38027 
 1954-05-01 -97.1083 19.3486 17.67495 
 1954-06-01 -97.1083 19.3486 17.60366 
 1954-07-01 -97.1083 19.3486 16.59902 
 1954-08-01 -97.1083 19.3486 17.10195 
 1954-09-01 -97.1083 19.3486 17.08193 
 1954-10-01 -97.1083 19.3486 15.56094 
 1954-11-01 -97.1083 19.3486 13.27603 
 1954-12-01 -97.1083 19.3486 11.41274 
 1955-01-01 -97.1083 19.3486 12.00137 
 1955-02-01 -97.1083 19.3486 12.33486 
 1955-03-01 -97.1083 19.3486 14.84292 
 1955-04-01 -97.1083 19.3486 17.87588 
 1955-05-01 -97.1083 19.3486 18.47939 
 1955-06-01 -97.1083 19.3486 17.94009 
 1955-07-01 -97.1083 19.3486 16.68081 
 1955-08-01 -97.1083 19.3486 17.26943 
 1955-09-01 -97.1083 19.3486 17.26626 
 1955-10-01 -97.1083 19.3486 15.33608 
 1955-11-01 -97.1083 19.3486 14.61416 
 1955-12-01 -97.1083 19.3486 12.57607 
 1956-01-01 -97.1083 19.3486 11.29263 
 1956-02-01 -97.1083 19.3486 14.22451 
 1956-03-01 -97.1083 19.3486 15.28701 
 1956-04-01 -97.1083 19.3486  17.3627 
 1956-05-01 -97.1083 19.3486 16.48525 
 1956-06-01 -97.1083 19.3486 16.52114 
 1956-07-01 -97.1083 19.3486 16.40884 
 1956-08-01 -97.1083 19.3486 17.22598 
 1956-09-01 -97.1083 19.3486 16.46768 
 1956-10-01 -97.1083 19.3486 15.30581 
 1956-11-01 -97.1083 19.3486 13.33804 
 1956-12-01 -97.1083 19.3486 12.62734 
 1957-01-01 -97.1083 19.3486 12.51772 
 1957-02-01 -97.1083 19.3486 13.56729 
 1957-03-01 -97.1083 19.3486 14.99551 
 1957-04-01 -97.1083 19.3486 17.04556 
 1957-05-01 -97.1083 19.3486 17.98013 
 1957-06-01 -97.1083 19.3486 18.44399 
 1957-07-01 -97.1083 19.3486 17.15029 
 1957-08-01 -97.1083 19.3486 17.41274 
 1957-09-01 -97.1083 19.3486 17.32388 
 1957-10-01 -97.1083 19.3486 15.22744 
 1957-11-01 -97.1083 19.3486 15.33413 
 1957-12-01 -97.1083 19.3486 12.28359 
 1958-01-01 -97.1083 19.3486   11.329 
 1958-02-01 -97.1083 19.3486 12.55142 
 1958-03-01 -97.1083 19.3486 15.16592 
 1958-04-01 -97.1083 19.3486 17.59927 
 1958-05-01 -97.1083 19.3486 17.01602 
 1958-06-01 -97.1083 19.3486 18.09658 
 1958-07-01 -97.1083 19.3486 17.07388 
 1958-08-01 -97.1083 19.3486 17.70571 
 1958-09-01 -97.1083 19.3486 17.67275 
 1958-10-01 -97.1083 19.3486 16.23232 
 1958-11-01 -97.1083 19.3486 15.02529 
 1958-12-01 -97.1083 19.3486 12.81777 
 1959-01-01 -97.1083 19.3486 12.54653 
 1959-02-01 -97.1083 19.3486 14.67739 
 1959-03-01 -97.1083 19.3486 15.03994 
 1959-04-01 -97.1083 19.3486 16.08486 
 1959-05-01 -97.1083 19.3486 17.39858 
 1959-06-01 -97.1083 19.3486 17.89932 
 1959-07-01 -97.1083 19.3486 16.83682 
 1959-08-01 -97.1083 19.3486 17.29531 
 1959-09-01 -97.1083 19.3486 17.33267 
 1959-10-01 -97.1083 19.3486 16.97305 
 1959-11-01 -97.1083 19.3486 13.80386 
 1959-12-01 -97.1083 19.3486 12.82974 
 1960-01-01 -97.1083 19.3486 13.24648 
 1960-02-01 -97.1083 19.3486 12.42056 
 1960-03-01 -97.1083 19.3486 14.47598 
 1960-04-01 -97.1083 19.3486 16.25649 
 1960-05-01 -97.1083 19.3486 18.37026 
 1960-06-01 -97.1083 19.3486 17.97427 
 1960-07-01 -97.1083 19.3486 17.27627 
 1960-08-01 -97.1083 19.3486 17.44448 
 1960-09-01 -97.1083 19.3486 16.58486 
 1960-10-01 -97.1083 19.3486 16.83975 
 1960-11-01 -97.1083 19.3486 14.62808 
 1960-12-01 -97.1083 19.3486 12.17056 
 1961-01-01 -97.1083 19.3486 12.05703 
 1961-02-01 -97.1083 19.3486 12.80435 
 1961-03-01 -97.1083 19.3486 15.64004 
 1961-04-01 -97.1083 19.3486 16.72647 
 1961-05-01 -97.1083 19.3486 18.51016 
 1961-06-01 -97.1083 19.3486 17.32583 
 1961-07-01 -97.1083 19.3486 16.52358 
 1961-08-01 -97.1083 19.3486 16.68008 
 1961-09-01 -97.1083 19.3486 16.96743 
 1961-10-01 -97.1083 19.3486 15.33682 
 1961-11-01 -97.1083 19.3486 14.60635 
 1961-12-01 -97.1083 19.3486 13.34146 
 1962-01-01 -97.1083 19.3486 11.51626 
 1962-02-01 -97.1083 19.3486 15.14785 
 1962-03-01 -97.1083 19.3486 15.41079 
 1962-04-01 -97.1083 19.3486 15.81655 
 1962-05-01 -97.1083 19.3486 17.25161 
 1962-06-01 -97.1083 19.3486 18.23355 
 1962-07-01 -97.1083 19.3486  17.1918 
 1962-08-01 -97.1083 19.3486 18.04019 
 1962-09-01 -97.1083 19.3486 17.49551 
 1962-10-01 -97.1083 19.3486 16.78799 
 1962-11-01 -97.1083 19.3486 13.57803 
 1962-12-01 -97.1083 19.3486 13.08535 
 1963-01-01 -97.1083 19.3486 12.71353 
 1963-02-01 -97.1083 19.3486 12.06094 
 1963-03-01 -97.1083 19.3486 15.84536 
 1963-04-01 -97.1083 19.3486 17.98696 
