#      date    lon    lat    value 
cdo(1) remapnn: Nearest neighbor weights from lonlat (9x9) to lonlat (1x1) grid
 1950-01-01 -97.5733 18.8311 11.03945 
 1950-02-01 -97.5733 18.8311 11.86978 
 1950-03-01 -97.5733 18.8311 14.13662 
 1950-04-01 -97.5733 18.8311 14.74844 
 1950-05-01 -97.5733 18.8311 16.26138 
 1950-06-01 -97.5733 18.8311 15.33389 
 1950-07-01 -97.5733 18.8311 14.75332 
 1950-08-01 -97.5733 18.8311 15.31411 
 1950-09-01 -97.5733 18.8311 15.72891 
 1950-10-01 -97.5733 18.8311 13.84023 
 1950-11-01 -97.5733 18.8311 11.51162 
 1950-12-01 -97.5733 18.8311 11.21792 
 1951-01-01 -97.5733 18.8311 12.19253 
 1951-02-01 -97.5733 18.8311 11.81851 
 1951-03-01 -97.5733 18.8311 14.42471 
 1951-04-01 -97.5733 18.8311 16.78848 
 1951-05-01 -97.5733 18.8311 16.32852 
 1951-06-01 -97.5733 18.8311  16.0646 
 1951-07-01 -97.5733 18.8311 15.42935 
 1951-08-01 -97.5733 18.8311 16.12417 
 1951-09-01 -97.5733 18.8311 15.65176 
 1951-10-01 -97.5733 18.8311 15.25112 
 1951-11-01 -97.5733 18.8311 13.72329 
 1951-12-01 -97.5733 18.8311 12.86953 
 1952-01-01 -97.5733 18.8311 12.51821 
 1952-02-01 -97.5733 18.8311 13.64858 
 1952-03-01 -97.5733 18.8311 16.65347 
 1952-04-01 -97.5733 18.8311  16.3832 
 1952-05-01 -97.5733 18.8311 16.14443 
 1952-06-01 -97.5733 18.8311 15.47671 
 1952-07-01 -97.5733 18.8311 14.97891 
 1952-08-01 -97.5733 18.8311 15.72378 
 1952-09-01 -97.5733 18.8311 15.10024 
 1952-10-01 -97.5733 18.8311 12.09609 
 1952-11-01 -97.5733 18.8311 12.93789 
 1952-12-01 -97.5733 18.8311 11.43081 
 1953-01-01 -97.5733 18.8311 11.13711 
 1953-02-01 -97.5733 18.8311 13.51772 
 1953-03-01 -97.5733 18.8311 14.93301 
 1953-04-01 -97.5733 18.8311 17.28994 
 1953-05-01 -97.5733 18.8311 17.85293 
 1953-06-01 -97.5733 18.8311 15.94058 
 1953-07-01 -97.5733 18.8311 15.03921 
 1953-08-01 -97.5733 18.8311 15.98525 
 1953-09-01 -97.5733 18.8311 15.04409 
 1953-10-01 -97.5733 18.8311 14.34634 
 1953-11-01 -97.5733 18.8311 12.22402 
 1953-12-01 -97.5733 18.8311 11.68374 
